round_epochs,val_loss,loss,activation,batch_size,dropout,epochs,losses,optimizer
10,0.7012804201239918,0.8262626318478146,relu,256,0.25,10,logcosh,Adam
50,0.7236160382655387,0.8092019541919541,tanh,256,0.25,50,huber_loss,Adam
30,61.882522124278395,482.12091585801085,elu,256,0,30,mean_squared_error,Adadelta
50,0.6645523484317993,0.756924928894241,relu,256,0.25,50,logcosh,Nadam
30,61.95536107137449,482.2782626977896,selu,256,0.25,30,mean_squared_error,Adagrad
30,0.6952218055509529,0.7807621695962702,softplus,256,0,30,huber_loss,Adadelta
10,0.6954698052802957,0.786924966836437,relu,256,0,10,logcosh,Adamax
30,0.9989061383614704,1.0016308972271841,tanh,256,0.25,30,hinge,SGD
50,0.9078183612814864,0.992214547935214,relu,256,0,50,huber_loss,SGD
30,nan,nan,linear,256,0,30,binary_crossentropy,SGD
30,nan,nan,exponential,256,0.25,30,mean_squared_error,Adagrad
30,-0.5101033613139638,-0.7982537344892726,tanh,256,0.25,30,binary_crossentropy,SGD
30,0.9103096375413656,1.0024775808968034,selu,256,0.25,30,mean_absolute_error,Adagrad
50,0.6888389987281606,0.773520264776319,tanh,256,0,50,logcosh,Nadam
30,-2.8155987344641797,-2.994586298858405,hard_sigmoid,256,0.25,30,binary_crossentropy,RMSprop
50,0.8932326800353273,0.9748599339679144,softplus,256,0,50,mean_absolute_error,Adam
30,0.692002261202331,0.7768283338831415,hard_sigmoid,256,0,30,logcosh,Adamax
50,0.8264104490038715,0.9113377595409126,linear,256,0,50,huber_loss,SGD
50,0.8617282403097446,0.946630817812082,softmax,256,0.25,50,logcosh,SGD
10,nan,nan,exponential,256,0.25,10,huber_loss,Adamax
10,62.18727950463459,482.4567288969867,sigmoid,256,0,10,mean_squared_error,Adagrad
50,0.6911284244513209,0.7768302198961806,selu,256,0,50,huber_loss,RMSprop
10,0.7834779917654896,0.8744321019652881,softsign,256,0,10,logcosh,Adadelta
10,62.40421374667618,482.68497496159813,hard_sigmoid,256,0,10,mean_squared_error,RMSprop
10,0.7630060361479333,0.8545220474861545,sigmoid,256,0.25,10,logcosh,RMSprop
30,0.760221497922004,0.8463444983188473,softmax,256,0,30,logcosh,Nadam
30,nan,nan,exponential,256,0.25,30,huber_loss,Nadam
30,1.0103349472256293,1.006719441389126,hard_sigmoid,256,0.25,30,hinge,SGD
10,0.8432715578277546,0.9293989386407763,softmax,256,0,10,logcosh,Adam
30,0.7561273041297472,0.758953752440065,selu,256,0,30,hinge,Adagrad
50,0.8844345448030054,0.9660504014776697,softplus,256,0,50,mean_absolute_error,Nadam
50,0.9178317176282513,0.9999333256649037,tanh,256,0.25,50,mean_absolute_error,RMSprop
10,0.9490933556237661,1.030891827222816,tanh,256,0,10,mean_absolute_error,Adagrad
10,1.018761846083629,1.147706549198012,tanh,256,0.25,10,mean_absolute_error,Adamax
30,nan,nan,exponential,256,0,30,logcosh,Adamax
50,-5.778662052982323,-6.3097943017481635,hard_sigmoid,256,0.25,50,binary_crossentropy,Adagrad
50,62.026303374099044,482.2617298533974,softsign,256,0,50,mean_squared_error,Adam
30,nan,nan,exponential,256,0.25,30,mean_absolute_error,Adamax
10,0.7136523330190082,0.8155310323014469,relu,256,0.25,10,huber_loss,Adagrad
50,61.88031430270314,482.1132341005038,linear,256,0,50,mean_squared_error,RMSprop
30,0.7749988857057167,0.7799314543457175,relu,256,0.25,30,hinge,RMSprop
10,0.9686899102186854,0.9705504430471135,softplus,256,0.25,10,hinge,SGD
30,-3.2262529615467757,-3.450322571988936,hard_sigmoid,256,0,30,binary_crossentropy,Adam
10,0.9188955136276714,0.9321697246583918,softsign,256,0.25,10,hinge,RMSprop
30,62.6393568097575,482.8918248222031,tanh,256,0,30,mean_squared_error,SGD
30,0.680199722592697,0.7761510301446397,elu,256,0.25,30,logcosh,Adamax
10,0.9124053077499431,0.9965817942941115,softsign,256,0,10,huber_loss,SGD
30,-7.036622922631759,-7.463294592259233,sigmoid,256,0,30,binary_crossentropy,Adadelta
50,1.1401116703561158,1.2233726401664333,softmax,256,0.25,50,mean_absolute_error,Adagrad
30,nan,nan,softplus,256,0,30,binary_crossentropy,SGD
30,-3.7972708257154357,-3.6803439368949626,hard_sigmoid,256,0.25,30,binary_crossentropy,Adamax
50,nan,nan,exponential,256,0.25,50,mean_absolute_error,Nadam
10,-0.02870151148620609,0.08670962119141858,softsign,256,0.25,10,binary_crossentropy,Adam
10,-0.7653646523008295,-0.7979811294397243,hard_sigmoid,256,0,10,binary_crossentropy,Adadelta
10,62.89713702279448,483.21362242264365,softmax,256,0.25,10,mean_squared_error,SGD
10,0.8122577615499927,0.821707671292833,sigmoid,256,0.25,10,hinge,Adagrad
30,-6.73981850918982,-7.046174862633453,sigmoid,256,0.25,30,binary_crossentropy,Nadam
10,nan,nan,exponential,256,0,10,mean_squared_error,Adam
50,nan,nan,exponential,256,0,50,binary_crossentropy,Adagrad
50,0.9212270681939979,1.0059932002541927,sigmoid,256,0.25,50,mean_absolute_error,Adamax
30,0.9269484486329835,1.0132798081076668,sigmoid,256,0.25,30,mean_absolute_error,RMSprop
50,nan,nan,exponential,256,0.25,50,binary_crossentropy,Adadelta
10,0.19287578096010372,0.09673508884294689,hard_sigmoid,256,0.25,10,binary_crossentropy,SGD
30,0.9060432414034176,0.9969943689816174,softplus,256,0.25,30,huber_loss,SGD
10,0.7450672884961795,0.8302546637752474,sigmoid,256,0,10,huber_loss,Adagrad
30,61.926762606739786,482.1495295655564,elu,256,0,30,mean_squared_error,Nadam
30,-791.9430442658298,-3817.603434072569,elu,256,0,30,binary_crossentropy,RMSprop
30,nan,nan,exponential,256,0,30,logcosh,Adadelta
30,0.9120114896224162,1.0221732940354287,linear,256,0.25,30,huber_loss,SGD
50,0.6870664635144349,0.7772982986314277,relu,256,0.25,50,logcosh,Adamax
10,0.6898052433731328,0.7931490096352808,softplus,256,0.25,10,logcosh,Adadelta
50,0.9203913233379344,1.004875022462653,hard_sigmoid,256,0.25,50,mean_absolute_error,Adamax
10,0.7777325514212223,0.8447936230979477,linear,256,0.25,10,hinge,Adamax
30,62.30439871775953,482.5416944860681,relu,256,0,30,mean_squared_error,SGD
30,0.9336904056680138,1.021095493229114,softsign,256,0.25,30,mean_absolute_error,Adagrad
30,-4096.914832006527,-13871.365489691481,relu,256,0,30,binary_crossentropy,Adam
10,62.148808141297934,482.4613075994444,softplus,256,0.25,10,mean_squared_error,RMSprop
10,-0.21935078172285993,-0.37771788589680966,sigmoid,256,0,10,binary_crossentropy,SGD
10,61.95449811166277,482.1993143647389,selu,256,0,10,mean_squared_error,Adadelta
10,0.727106440994235,0.8388999040366457,elu,256,0.25,10,huber_loss,Adadelta
10,0.7376546017946861,0.827087582873533,softplus,256,0,10,huber_loss,Adam
30,0.7306868775628144,0.8145072178887893,softsign,256,0,30,huber_loss,Adagrad
50,0.7749918255193755,0.7844129896996549,selu,256,0.25,50,hinge,Adam
