,time,confidence,avg_5_conf,avg_10_conf,avg_20_conf,avg_40_conf,real_user,predicted,user_count
0,3,0.29,,,,,22,20,16
1,4,0.83,0.29,0.29,0.29,0.29,22,22,16
2,5,0.41,0.5599999999999999,0.5599999999999999,0.5599999999999999,0.5599999999999999,22,22,16
3,6,0.26,0.5099999999999999,0.5099999999999999,0.5099999999999999,0.5099999999999999,22,23,16
4,7,0.35,0.44749999999999995,0.44749999999999995,0.44749999999999995,0.44749999999999995,22,22,16
5,8,0.57,0.42799999999999994,0.42799999999999994,0.42799999999999994,0.42799999999999994,22,22,16
6,9,0.89,0.484,0.4516666666666666,0.4516666666666666,0.4516666666666666,22,22,16
7,10,0.87,0.496,0.5142857142857142,0.5142857142857142,0.5142857142857142,22,22,16
8,11,0.78,0.588,0.55875,0.55875,0.55875,22,22,16
9,12,0.3,0.692,0.5833333333333334,0.5833333333333334,0.5833333333333334,22,22,16
10,13,0.45,0.682,0.5549999999999999,0.5549999999999999,0.5549999999999999,22,14,16
11,14,0.78,0.658,0.571,0.5454545454545454,0.5454545454545454,22,22,16
12,15,0.4,0.6359999999999999,0.5660000000000001,0.5650000000000001,0.5650000000000001,22,22,16
13,16,0.72,0.542,0.5650000000000001,0.5523076923076924,0.5523076923076924,22,22,16
14,17,0.36,0.53,0.611,0.5642857142857143,0.5642857142857143,22,22,16
15,18,0.43,0.5419999999999999,0.612,0.5506666666666666,0.5506666666666666,22,22,16
16,19,0.74,0.538,0.598,0.543125,0.543125,22,22,16
17,20,0.85,0.53,0.583,0.5547058823529412,0.5547058823529412,22,22,16
18,21,0.71,0.62,0.5810000000000001,0.5711111111111111,0.5711111111111111,22,22,16
19,22,0.7,0.618,0.574,0.5784210526315788,0.5784210526315788,22,22,16
20,23,0.6,0.6859999999999999,0.6140000000000001,0.5844999999999999,0.5844999999999999,22,22,16
21,24,0.73,0.72,0.629,0.5999999999999999,0.5852380952380951,22,22,16
