,time,confidence,avg_5_conf,avg_10_conf,avg_20_conf,avg_40_conf,real_user,predicted,user_count
0,3,0.91,,,,,14,14,16
1,4,0.81,0.91,0.91,0.91,0.91,14,14,16
2,5,0.9,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,14,14,16
3,6,0.95,0.8733333333333334,0.8733333333333334,0.8733333333333334,0.8733333333333334,14,14,16
4,7,0.88,0.8925000000000001,0.8925000000000001,0.8925000000000001,0.8925000000000001,14,14,16
5,8,0.38,0.89,0.89,0.89,0.89,14,14,16
6,9,0.86,0.784,0.805,0.805,0.805,14,14,16
7,10,0.33,0.7939999999999999,0.812857142857143,0.812857142857143,0.812857142857143,14,21,16
8,11,0.84,0.6799999999999999,0.7525000000000001,0.7525000000000001,0.7525000000000001,14,14,16
9,12,0.8,0.658,0.7622222222222222,0.7622222222222222,0.7622222222222222,14,14,16
10,13,0.77,0.642,0.766,0.766,0.766,14,14,16
11,14,0.86,0.72,0.752,0.7663636363636364,0.7663636363636364,14,14,16
12,15,0.85,0.72,0.7570000000000001,0.7741666666666666,0.7741666666666666,14,14,16
13,16,0.94,0.8240000000000001,0.752,0.7799999999999999,0.7799999999999999,14,14,16
14,17,0.94,0.8440000000000001,0.751,0.7914285714285713,0.7914285714285713,14,14,16
15,18,0.7,0.8719999999999999,0.757,0.8013333333333332,0.8013333333333332,14,14,16
16,19,0.95,0.858,0.7889999999999999,0.7949999999999999,0.7949999999999999,14,14,16
17,20,0.87,0.876,0.798,0.8041176470588234,0.8041176470588234,14,14,16
18,21,0.63,0.8800000000000001,0.852,0.8077777777777776,0.8077777777777776,14,14,16
19,22,0.63,0.818,0.8310000000000001,0.7984210526315788,0.7984210526315788,14,14,16
20,23,0.87,0.756,0.8140000000000001,0.7899999999999999,0.7899999999999999,14,14,16
21,24,0.78,0.7899999999999999,0.8240000000000001,0.788,0.7938095238095237,14,14,16
22,25,0.81,0.756,0.8160000000000001,0.7865,0.7931818181818181,14,14,16
23,26,0.8,0.744,0.8119999999999999,0.782,0.7939130434782607,14,14,16
24,27,0.78,0.7780000000000001,0.7979999999999999,0.7745,0.7941666666666666,14,14,16
25,28,0.88,0.808,0.782,0.7695,0.7936,14,14,16
26,29,0.77,0.8099999999999999,0.8,0.7945000000000001,0.7969230769230768,14,14,16
27,30,0.68,0.808,0.782,0.79,0.7959259259259258,14,14,16
28,31,0.82,0.782,0.7630000000000001,0.8074999999999999,0.7917857142857142,14,14,16
29,32,0.79,0.786,0.782,0.8065,0.7927586206896551,14,14,16
30,33,0.86,0.788,0.798,0.806,0.7926666666666666,14,14,16
31,34,0.93,0.784,0.797,0.8104999999999999,0.7948387096774192,14,14,16
32,35,0.88,0.8160000000000001,0.812,0.8139999999999998,0.7990625,14,14,16
33,36,0.82,0.8560000000000001,0.819,0.8154999999999999,0.8015151515151515,14,14,16
34,37,0.88,0.8560000000000001,0.821,0.8094999999999999,0.8020588235294117,14,14,16
35,38,0.95,0.874,0.8310000000000001,0.8065000000000001,0.8042857142857143,14,14,16
36,39,0.67,0.892,0.8380000000000001,0.8190000000000002,0.8083333333333332,14,14,16
37,40,0.94,0.8400000000000001,0.8280000000000001,0.805,0.8045945945945946,14,14,16
38,41,0.92,0.852,0.8539999999999999,0.8085000000000001,0.8081578947368421,14,14,16
39,42,0.66,0.8720000000000001,0.8640000000000001,0.8230000000000001,0.8110256410256411,14,14,16
40,43,0.57,0.828,0.851,0.8244999999999999,0.80725,14,14,16
41,44,0.59,0.752,0.8220000000000001,0.8095000000000001,0.79875,14,14,16
42,45,0.55,0.736,0.788,0.8,0.79325,14,14,16
43,46,0.8,0.658,0.755,0.7870000000000001,0.7845,14,14,16
44,47,0.61,0.634,0.7529999999999999,0.7870000000000001,0.78075,14,14,16
45,48,0.34,0.6239999999999999,0.726,0.7785,0.774,14,14,16
46,49,0.89,0.5780000000000001,0.6649999999999999,0.7515000000000001,0.773,14,14,16
47,50,0.55,0.638,0.687,0.7575000000000001,0.7737499999999999,14,14,16
48,51,0.4,0.6380000000000001,0.6479999999999999,0.751,0.77925,14,14,16
49,52,0.37,0.5579999999999999,0.596,0.7300000000000001,0.7682499999999999,14,18,16
50,53,0.36,0.51,0.567,0.7090000000000001,0.7575,14,14,16
51,54,0.63,0.514,0.546,0.6839999999999999,0.74725,14,14,16
52,55,0.78,0.462,0.55,0.669,0.7414999999999999,14,14,16
53,56,0.91,0.508,0.5730000000000001,0.6639999999999999,0.73975,14,14,16
54,57,0.82,0.61,0.584,0.6685000000000001,0.739,14,14,16
55,58,0.48,0.7,0.6050000000000001,0.6655,0.736,14,14,16
56,59,0.7,0.724,0.619,0.6420000000000001,0.7304999999999999,14,14,16
57,60,0.87,0.7379999999999999,0.6000000000000001,0.6435000000000001,0.72425,14,14,16
58,61,0.7,0.756,0.632,0.6399999999999999,0.72425,14,14,16
59,62,0.35,0.7139999999999999,0.6620000000000001,0.6289999999999999,0.726,14,14,16
60,63,0.5,0.62,0.6599999999999999,0.6134999999999999,0.7190000000000001,14,14,16
61,64,0.47,0.6239999999999999,0.674,0.61,0.7097499999999999,14,14,16
62,65,0.79,0.578,0.6579999999999999,0.604,0.7020000000000001,14,14,16
63,66,0.93,0.5619999999999999,0.659,0.616,0.7015,14,14,16
64,67,0.6,0.608,0.6609999999999998,0.6225000000000002,0.70475,14,14,16
65,68,0.46,0.658,0.6389999999999999,0.622,0.7002499999999999,14,14,16
66,69,0.38,0.65,0.637,0.628,0.68975,14,14,16
67,70,0.77,0.632,0.605,0.6025,0.6799999999999999,14,14,16
68,71,0.64,0.628,0.595,0.6134999999999999,0.68225,14,14,16
69,72,0.49,0.5700000000000001,0.589,0.6255,0.67775,14,14,16
70,73,0.84,0.548,0.603,0.6315000000000002,0.67025,14,14,16
71,74,0.87,0.624,0.637,0.6555000000000001,0.66975,14,14,16
72,75,0.54,0.7220000000000001,0.677,0.6675,0.66825,14,14,16
73,76,0.43,0.6759999999999999,0.652,0.6555,0.6597500000000001,14,14,16
74,77,0.8,0.6340000000000001,0.602,0.6315,0.65,14,14,16
75,78,0.76,0.6960000000000001,0.622,0.6305,0.648,14,14,16
76,79,0.55,0.68,0.6519999999999999,0.6445,0.6432500000000001,14,14,16
77,80,0.96,0.616,0.669,0.637,0.64025,14,14,16
78,81,0.74,0.7,0.688,0.6415000000000001,0.64075,14,14,16
79,82,0.56,0.7620000000000001,0.6980000000000001,0.6435,0.6362500000000001,14,14,16
80,83,0.84,0.714,0.7050000000000001,0.6540000000000001,0.63375,14,14,16
81,84,0.48,0.73,0.7050000000000001,0.671,0.6405000000000001,14,14,16
82,85,0.67,0.716,0.666,0.6715,0.63775,14,14,16
83,86,0.23,0.658,0.6789999999999999,0.6655000000000001,0.64075,14,13,16
84,87,0.4,0.5559999999999999,0.659,0.6305000000000001,0.6265000000000001,14,14,16
85,88,0.64,0.5239999999999999,0.619,0.6205,0.6212500000000001,14,14,16
86,89,0.65,0.484,0.607,0.6295000000000001,0.6287499999999999,14,14,16
87,90,0.31,0.518,0.6169999999999999,0.643,0.6227499999999999,14,14,16
88,91,0.42,0.446,0.552,0.6200000000000001,0.61675,14,14,16
89,92,0.46,0.484,0.5199999999999999,0.6090000000000001,0.61725,14,14,16
90,93,0.45,0.496,0.51,0.6075000000000002,0.6195,14,14,16
