,time,confidence,avg_5_conf,avg_10_conf,avg_20_conf,avg_40_conf,real_user,predicted,user_count
0,3,0.77,,,,,16,16,16
1,4,0.76,0.77,0.77,0.77,0.77,16,16,16
2,5,0.91,0.765,0.765,0.765,0.765,16,16,16
3,6,0.78,0.8133333333333334,0.8133333333333334,0.8133333333333334,0.8133333333333334,16,16,16
4,7,0.76,0.8049999999999999,0.8049999999999999,0.8049999999999999,0.8049999999999999,16,16,16
5,8,0.88,0.7959999999999999,0.7959999999999999,0.7959999999999999,0.7959999999999999,16,16,16
6,9,0.48,0.818,0.8099999999999999,0.8099999999999999,0.8099999999999999,16,14,16
7,10,0.55,0.762,0.7628571428571428,0.7628571428571428,0.7628571428571428,16,16,16
8,11,0.72,0.6900000000000001,0.73625,0.73625,0.73625,16,16,16
9,12,0.75,0.6779999999999999,0.7344444444444443,0.7344444444444443,0.7344444444444443,16,16,16
10,13,0.6,0.6759999999999999,0.736,0.736,0.736,16,16,16
11,14,0.78,0.62,0.719,0.7236363636363635,0.7236363636363635,16,16,16
12,15,0.84,0.68,0.721,0.7283333333333332,0.7283333333333332,16,16,16
13,16,0.85,0.7379999999999999,0.714,0.7369230769230768,0.7369230769230768,16,16,16
14,17,0.81,0.764,0.7209999999999999,0.7449999999999999,0.7449999999999999,16,16,16
15,18,0.91,0.776,0.726,0.7493333333333332,0.7493333333333332,16,16,16
16,19,0.62,0.8380000000000001,0.7290000000000001,0.759375,0.759375,16,16,16
17,20,0.72,0.806,0.7430000000000001,0.7511764705882352,0.7511764705882352,16,16,16
18,21,0.81,0.782,0.76,0.7494444444444445,0.7494444444444445,16,16,16
19,22,0.78,0.7740000000000001,0.7689999999999999,0.7526315789473684,0.7526315789473684,16,16,16
20,23,0.91,0.768,0.772,0.754,0.754,16,16,16
21,24,0.37,0.768,0.8029999999999999,0.761,0.7614285714285715,16,16,16
22,25,0.9,0.7180000000000001,0.762,0.7415,0.7436363636363637,16,16,16
23,26,0.86,0.754,0.768,0.7409999999999999,0.7504347826086956,16,16,16
24,27,0.35,0.764,0.769,0.7449999999999999,0.755,16,16,16
25,28,0.22,0.678,0.723,0.7244999999999999,0.7388000000000001,16,7,16
26,29,0.28,0.54,0.6539999999999999,0.6915,0.7188461538461539,16,17,16
27,30,0.48,0.522,0.6199999999999999,0.6815,0.7025925925925927,16,16,16
28,31,0.6,0.438,0.5960000000000001,0.6779999999999999,0.6946428571428572,16,16,16
29,32,0.83,0.386,0.575,0.6719999999999999,0.6913793103448277,16,16,16
30,33,0.58,0.48200000000000004,0.58,0.6759999999999999,0.6960000000000001,16,16,16
31,34,0.45,0.554,0.547,0.675,0.692258064516129,16,16,16
32,35,0.73,0.5880000000000001,0.5549999999999999,0.6584999999999999,0.6846875000000001,16,16,16
33,36,0.63,0.638,0.538,0.653,0.6860606060606061,16,16,16
34,37,0.67,0.6439999999999999,0.5149999999999999,0.642,0.6844117647058825,16,16,16
35,38,0.72,0.612,0.5469999999999999,0.635,0.6840000000000002,16,16,16
36,39,0.71,0.64,0.597,0.6255000000000001,0.685,16,16,16
37,40,0.69,0.692,0.64,0.6300000000000001,0.6856756756756758,16,16,16
38,41,0.85,0.6839999999999999,0.6609999999999999,0.6285000000000001,0.6857894736842107,16,16,16
39,42,0.73,0.728,0.6859999999999999,0.6305,0.6900000000000002,16,16,16
40,43,0.58,0.74,0.6759999999999999,0.6279999999999999,0.6910000000000001,16,16,16
41,44,0.79,0.712,0.6759999999999999,0.6114999999999999,0.68625,16,16,16
42,45,0.69,0.728,0.7100000000000001,0.6325000000000001,0.687,16,16,16
43,46,0.61,0.728,0.7060000000000001,0.622,0.6815,16,16,16
44,47,0.8,0.6799999999999999,0.704,0.6094999999999999,0.67725,16,16,16
45,48,0.44,0.694,0.717,0.6319999999999999,0.67825,16,16,16
46,49,0.63,0.6659999999999999,0.6890000000000001,0.643,0.66725,16,14,16
47,50,0.38,0.6339999999999999,0.681,0.6605000000000001,0.671,16,14,16
48,51,0.5,0.572,0.65,0.6555000000000001,0.6667500000000001,16,16,16
49,52,0.69,0.55,0.615,0.6505,0.66125,16,16,16
50,53,0.19,0.528,0.611,0.6435000000000001,0.6597500000000001,16,16,16
51,54,0.34,0.47800000000000004,0.572,0.6239999999999999,0.6495,16,10,16
52,55,0.2,0.41999999999999993,0.527,0.6184999999999998,0.6385,16,16,16
53,56,0.35,0.384,0.47800000000000004,0.5919999999999999,0.6224999999999999,16,16,16
54,57,0.53,0.354,0.45199999999999996,0.578,0.61,16,16,16
55,58,0.25,0.322,0.425,0.571,0.603,16,16,16
56,59,0.44,0.33399999999999996,0.406,0.5474999999999999,0.5865,16,16,16
57,60,0.51,0.354,0.38699999999999996,0.5339999999999999,0.5820000000000001,16,16,16
58,61,0.36,0.41600000000000004,0.4,0.5249999999999999,0.57675,16,16,16
59,62,0.22,0.418,0.386,0.5005,0.5654999999999999,16,16,16
60,63,0.45,0.356,0.339,0.475,0.5515000000000001,16,16,16
61,64,0.54,0.396,0.36500000000000005,0.46849999999999997,0.54,16,16,16
62,65,0.82,0.41600000000000004,0.385,0.45600000000000007,0.5442500000000001,16,16,16
63,66,0.53,0.47800000000000004,0.44699999999999995,0.4625,0.5422499999999999,16,16,16
64,67,0.27,0.5119999999999999,0.465,0.4585,0.534,16,16,16
65,68,0.2,0.522,0.43900000000000006,0.43200000000000005,0.532,16,14,16
66,69,0.31,0.4720000000000001,0.434,0.42000000000000004,0.5315000000000001,16,16,16
67,70,0.5,0.426,0.421,0.404,0.53225,16,16,16
68,71,0.66,0.362,0.41999999999999993,0.41,0.5327500000000001,16,16,16
69,72,0.75,0.388,0.45,0.418,0.5342499999999999,16,16,16
70,73,0.61,0.484,0.503,0.421,0.53225,16,16,16
71,74,0.46,0.5660000000000001,0.519,0.442,0.533,16,16,16
72,75,0.59,0.596,0.511,0.44800000000000006,0.53325,16,16,16
73,76,0.42,0.614,0.488,0.4675000000000001,0.5297499999999999,16,16,16
74,77,0.39,0.566,0.47700000000000004,0.471,0.5245,16,16,16
75,78,0.73,0.49400000000000005,0.489,0.4640000000000001,0.5175000000000001,16,16,16
76,79,0.92,0.518,0.542,0.4880000000000001,0.51775,16,16,16
77,80,0.8,0.61,0.603,0.5120000000000001,0.523,16,16,16
78,81,0.89,0.6519999999999999,0.633,0.5265000000000001,0.52575,16,16,16
79,82,0.79,0.746,0.6559999999999999,0.553,0.52675,16,16,16
80,83,0.97,0.8260000000000002,0.6599999999999999,0.5815000000000001,0.5282500000000001,16,16,16
81,84,0.96,0.874,0.696,0.6075,0.538,16,16,16
82,85,0.92,0.882,0.746,0.6285000000000001,0.5422499999999999,16,16,16
83,86,0.5,0.906,0.779,0.6335,0.5479999999999999,16,16,16
84,87,0.84,0.828,0.7870000000000001,0.6319999999999999,0.54525,16,16,16
85,88,0.73,0.8380000000000001,0.8320000000000001,0.6605,0.5462499999999999,16,16,16
86,89,0.74,0.7899999999999999,0.8320000000000001,0.687,0.5535,16,16,16
87,90,0.88,0.7459999999999999,0.8140000000000001,0.7085,0.55625,16,16,16
88,91,0.58,0.7379999999999999,0.8220000000000001,0.7275,0.56875,16,16,16
89,92,0.93,0.7539999999999999,0.7909999999999999,0.7235,0.57075,16,16,16
90,93,0.75,0.772,0.8049999999999999,0.7325,0.57675,16,16,16
91,94,0.83,0.776,0.7829999999999999,0.7395,0.59075,16,16,16
92,95,0.66,0.794,0.7699999999999999,0.758,0.603,16,16,16
93,96,0.84,0.75,0.744,0.7615,0.6144999999999999,16,16,16
94,97,0.72,0.8020000000000002,0.7779999999999999,0.7825,0.62675,16,16,16
95,98,0.92,0.76,0.7659999999999999,0.799,0.6315,16,16,16
96,99,0.53,0.7939999999999999,0.7849999999999999,0.8085000000000001,0.64825,16,16,16
97,100,0.82,0.734,0.764,0.7889999999999999,0.6505000000000001,16,16,16
98,101,0.63,0.7659999999999999,0.7580000000000001,0.79,0.65825,16,16,16
99,102,0.87,0.724,0.763,0.7769999999999999,0.665,16,16,16
100,103,0.94,0.754,0.757,0.7809999999999999,0.68125,16,16,16
101,104,0.91,0.758,0.776,0.7795,0.6935,16,16,16
102,105,0.71,0.834,0.784,0.7769999999999999,0.70275,16,16,16
103,106,0.33,0.812,0.7889999999999999,0.7665,0.7,16,16,16
104,107,0.35,0.752,0.738,0.7579999999999999,0.6950000000000001,16,16,16
105,108,0.6,0.648,0.701,0.7334999999999999,0.6970000000000001,16,16,16
106,109,0.65,0.5800000000000001,0.6689999999999999,0.7269999999999999,0.7070000000000001,16,16,16
107,110,0.47,0.528,0.6809999999999999,0.7224999999999999,0.7154999999999999,16,16,16
108,111,0.44,0.47999999999999987,0.646,0.702,0.7147500000000001,16,16,16
109,112,0.37,0.502,0.627,0.695,0.70925,16,16,16
110,113,0.46,0.506,0.5770000000000002,0.667,0.6997500000000001,16,16,16
111,114,0.57,0.47800000000000004,0.529,0.6525,0.6960000000000001,16,16,16
112,115,0.82,0.4619999999999999,0.495,0.6395,0.6987500000000001,16,16,16
113,116,0.89,0.5319999999999999,0.506,0.6475000000000001,0.7045,16,16,16
114,117,0.65,0.622,0.562,0.6500000000000001,0.71625,16,16,16
115,118,0.77,0.678,0.592,0.6465000000000001,0.72275,16,16,16
116,119,0.53,0.74,0.609,0.639,0.72375,16,16,16
117,120,0.79,0.732,0.597,0.639,0.714,16,16,16
118,121,0.19,0.726,0.629,0.6375,0.71375,8,14,16
119,122,0.21,0.5860000000000001,0.604,0.6154999999999998,0.6962499999999999,8,21,16
120,123,0.34,0.49799999999999994,0.5880000000000001,0.5825,0.68175,8,21,16
121,124,0.43,0.41200000000000003,0.576,0.5525,0.6659999999999999,8,21,16
122,125,0.44,0.392,0.5619999999999999,0.5285,0.6527499999999999,8,21,16
123,126,0.27,0.32199999999999995,0.524,0.5149999999999999,0.6407499999999999,8,21,15
124,127,0.27,0.33799999999999997,0.4620000000000001,0.5119999999999999,0.635,8,14,15
125,128,0.16,0.35,0.42400000000000004,0.5079999999999999,0.6207499999999999,8,14,15
126,129,0.49,0.314,0.36300000000000004,0.48599999999999993,0.6064999999999999,8,21,15
127,130,0.49,0.32599999999999996,0.3590000000000001,0.4779999999999999,0.6002500000000001,8,21,15
128,131,0.27,0.33599999999999997,0.329,0.4789999999999999,0.5905,8,21,15
129,132,0.29,0.336,0.33699999999999997,0.47050000000000003,0.5827500000000001,8,21,15
130,133,0.39,0.34,0.34500000000000003,0.4664999999999999,0.5667500000000001,8,21,15
131,134,0.44,0.386,0.35000000000000003,0.4629999999999999,0.5577500000000001,8,21,15
132,135,0.39,0.376,0.35100000000000003,0.45649999999999996,0.548,8,21,15
133,136,0.22,0.35600000000000004,0.346,0.43499999999999994,0.54125,8,20,15
134,137,0.31,0.346,0.3410000000000001,0.40149999999999997,0.52575,8,11,15
135,138,0.29,0.35000000000000003,0.34500000000000003,0.38449999999999995,0.5155000000000001,8,14,15
136,139,0.38,0.33,0.358,0.36049999999999993,0.49975,8,14,15
137,140,0.42,0.31799999999999995,0.347,0.3529999999999999,0.496,8,14,15
138,141,0.35,0.324,0.33999999999999997,0.33449999999999996,0.48600000000000004,8,10,15
139,142,0.27,0.35,0.348,0.34249999999999997,0.479,8,14,15
140,143,0.35,0.34199999999999997,0.346,0.34550000000000003,0.46399999999999997,8,20,15
141,144,0.39,0.354,0.34199999999999997,0.346,0.44925,8,21,15
142,145,0.41,0.35600000000000004,0.337,0.3439999999999999,0.43624999999999997,8,21,15
143,146,0.45,0.354,0.339,0.3424999999999999,0.42874999999999996,8,21,15
144,147,0.44,0.374,0.362,0.3515,0.43174999999999997,8,21,15
145,148,0.42,0.40800000000000003,0.375,0.36,0.434,8,21,15
146,149,0.29,0.422,0.388,0.37300000000000005,0.4295,8,21,15
147,150,0.25,0.40199999999999997,0.379,0.36300000000000004,0.4205,8,14,15
148,151,0.38,0.37,0.362,0.351,0.41500000000000004,8,21,15
149,152,0.29,0.356,0.365,0.3565,0.4135,8,21,15
150,153,0.37,0.32599999999999996,0.367,0.3565,0.41150000000000003,8,14,15
151,154,0.42,0.316,0.369,0.35550000000000004,0.40925,8,14,15
152,155,0.41,0.34199999999999997,0.372,0.35450000000000004,0.40549999999999997,8,14,15
153,156,0.43,0.374,0.372,0.35550000000000004,0.39525,8,14,15
154,157,0.28,0.38399999999999995,0.37,0.366,0.38375000000000004,8,14,15
155,158,0.41,0.382,0.354,0.3645,0.3745,8,14,15
156,159,0.37,0.39,0.35300000000000004,0.3705,0.36550000000000005,8,14,15
157,160,0.51,0.38,0.36100000000000004,0.37,0.36150000000000004,8,14,15
158,161,0.39,0.39999999999999997,0.387,0.3745,0.3545,8,14,15
159,162,0.59,0.392,0.38799999999999996,0.37649999999999995,0.35950000000000004,8,14,15
160,163,0.59,0.454,0.418,0.39249999999999996,0.36900000000000005,8,14,15
161,164,0.25,0.48999999999999994,0.44000000000000006,0.40449999999999997,0.37525000000000003,8,14,15
162,165,0.55,0.466,0.42299999999999993,0.39749999999999996,0.37075,8,14,15
163,166,0.43,0.47400000000000003,0.437,0.40449999999999997,0.37350000000000005,8,14,15
164,167,0.36,0.48200000000000004,0.43699999999999994,0.4035,0.3775,8,14,15
165,168,0.3,0.43600000000000005,0.445,0.3995,0.37975000000000003,8,21,15
166,169,0.25,0.378,0.434,0.3935,0.38325,8,11,15
167,170,0.28,0.378,0.422,0.39149999999999996,0.37725,8,21,15
168,171,0.28,0.324,0.399,0.393,0.372,8,11,15
169,172,0.48,0.294,0.38800000000000007,0.388,0.37225,8,13,15
170,173,0.27,0.318,0.377,0.3975000000000001,0.377,8,25,15
171,174,0.36,0.312,0.34500000000000003,0.39249999999999996,0.374,8,21,15
172,175,0.44,0.33399999999999996,0.356,0.3895,0.372,8,21,15
173,176,0.53,0.366,0.34500000000000003,0.391,0.37324999999999997,8,21,15
174,177,0.37,0.41600000000000004,0.355,0.396,0.38099999999999995,8,21,15
175,178,0.45,0.394,0.35600000000000004,0.4005000000000001,0.3825,8,21,15
176,179,0.27,0.43000000000000005,0.37100000000000005,0.4025,0.3865,8,20,15
177,180,0.36,0.4119999999999999,0.37300000000000005,0.3975000000000001,0.38375,8,21,15
178,181,0.37,0.396,0.381,0.39000000000000007,0.38225,8,21,15
179,182,0.46,0.36400000000000005,0.39,0.38900000000000007,0.38275,8,21,15
180,183,0.23,0.382,0.388,0.38250000000000006,0.3875,8,21,15
