,time,confidence,avg_5_conf,avg_10_conf,avg_20_conf,avg_40_conf,real_user,predicted,user_count
0,3,0.49,,,,,23,23,16
1,4,0.79,0.49,0.49,0.49,0.49,23,23,16
2,5,0.54,0.64,0.64,0.64,0.64,23,23,16
3,6,0.88,0.6066666666666667,0.6066666666666667,0.6066666666666667,0.6066666666666667,23,23,16
4,7,0.76,0.675,0.675,0.675,0.675,23,23,16
5,8,0.54,0.692,0.692,0.692,0.692,23,23,16
6,9,0.66,0.702,0.6666666666666666,0.6666666666666666,0.6666666666666666,23,23,16
7,10,0.73,0.6759999999999999,0.6657142857142857,0.6657142857142857,0.6657142857142857,23,23,16
8,11,0.8,0.7140000000000001,0.6737500000000001,0.6737500000000001,0.6737500000000001,23,23,16
9,12,0.87,0.6980000000000001,0.6877777777777778,0.6877777777777778,0.6877777777777778,23,23,16
10,13,0.57,0.7200000000000001,0.7060000000000001,0.7060000000000001,0.7060000000000001,23,23,16
11,14,0.86,0.7260000000000001,0.7140000000000002,0.6936363636363637,0.6936363636363637,23,23,16
12,15,0.84,0.7659999999999999,0.721,0.7075,0.7075,23,23,16
13,16,0.87,0.7879999999999999,0.7510000000000001,0.7176923076923077,0.7176923076923077,23,23,16
14,17,0.78,0.8019999999999999,0.75,0.7285714285714285,0.7285714285714285,23,23,16
15,18,0.7,0.784,0.752,0.7319999999999999,0.7319999999999999,23,23,16
16,19,0.72,0.8099999999999999,0.768,0.73,0.73,23,23,16
17,20,0.74,0.782,0.7739999999999999,0.7294117647058824,0.7294117647058824,23,23,16
18,21,0.78,0.7619999999999999,0.7749999999999999,0.73,0.73,23,23,16
19,22,0.88,0.7440000000000001,0.7729999999999999,0.7326315789473684,0.7326315789473684,23,23,16
20,23,0.83,0.764,0.774,0.74,0.74,23,23,16
21,24,0.86,0.79,0.7999999999999999,0.757,0.7442857142857143,23,23,16
22,25,0.87,0.818,0.8,0.7605,0.7495454545454546,23,23,16
23,26,0.92,0.844,0.8029999999999999,0.7769999999999999,0.7547826086956523,23,23,16
24,27,0.59,0.8720000000000001,0.808,0.779,0.7616666666666667,23,23,16
25,28,0.52,0.8140000000000001,0.7889999999999999,0.7705,0.7548,23,23,16
26,29,0.59,0.752,0.7709999999999999,0.7695,0.7457692307692307,23,23,16
27,30,0.52,0.698,0.758,0.7659999999999999,0.74,23,22,16
28,31,0.46,0.628,0.736,0.7555,0.7321428571428571,23,23,16
29,32,0.22,0.5359999999999999,0.704,0.7384999999999999,0.7227586206896552,23,23,16
30,33,0.22,0.462,0.6379999999999999,0.7060000000000001,0.706,23,25,16
31,34,0.42,0.40199999999999997,0.577,0.6885000000000001,0.6903225806451613,23,23,16
32,35,0.46,0.368,0.5329999999999999,0.6665000000000001,0.681875,23,23,16
33,36,0.55,0.356,0.492,0.6475000000000002,0.6751515151515152,23,23,16
34,37,0.81,0.374,0.45499999999999996,0.6315000000000002,0.6714705882352942,23,23,16
35,38,0.39,0.492,0.477,0.6330000000000001,0.6754285714285715,23,23,16
36,39,0.54,0.526,0.46399999999999997,0.6175000000000002,0.6675,23,23,16
37,40,0.56,0.55,0.45899999999999996,0.6085,0.664054054054054,23,23,16
38,41,0.22,0.5700000000000001,0.4630000000000001,0.5995000000000001,0.6613157894736842,23,23,16
39,42,0.41,0.5040000000000001,0.43899999999999995,0.5715,0.6499999999999999,23,23,16
40,43,0.53,0.42400000000000004,0.458,0.548,0.644,23,23,16
41,44,0.74,0.45199999999999996,0.48900000000000005,0.5330000000000001,0.6450000000000001,23,23,16
42,45,0.93,0.492,0.521,0.527,0.64375,23,23,16
43,46,0.49,0.5660000000000001,0.568,0.5299999999999999,0.6535,23,23,16
44,47,0.68,0.6199999999999999,0.562,0.5085,0.64375,23,23,16
45,48,0.31,0.6740000000000002,0.549,0.513,0.64175,23,23,16
46,49,0.32,0.6300000000000001,0.5409999999999999,0.5025000000000001,0.6359999999999999,23,24,16
47,50,0.67,0.546,0.5189999999999999,0.489,0.6275,23,23,16
48,51,0.48,0.49400000000000005,0.53,0.49650000000000005,0.626,23,23,16
49,52,0.6,0.492,0.556,0.49750000000000016,0.618,23,23,16
50,53,0.79,0.476,0.575,0.5165000000000001,0.61125,23,23,16
51,54,0.48,0.572,0.6009999999999999,0.5449999999999999,0.61675,23,23,16
52,55,0.6,0.604,0.575,0.548,0.60725,23,23,16
53,56,0.86,0.5900000000000001,0.542,0.5549999999999999,0.6012500000000001,23,23,16
54,57,0.26,0.666,0.579,0.5704999999999999,0.601,23,23,16
55,58,0.6,0.5980000000000001,0.537,0.5429999999999999,0.5880000000000001,23,23,16
56,59,0.81,0.56,0.5660000000000001,0.5534999999999999,0.5855,23,23,16
57,60,0.8,0.626,0.615,0.567,0.58775,23,23,16
58,61,0.8,0.666,0.628,0.579,0.58925,23,23,16
59,62,0.74,0.6539999999999999,0.6599999999999999,0.6080000000000001,0.58975,23,23,16
60,63,0.18,0.75,0.674,0.6245,0.58625,23,21,16
61,64,0.81,0.6660000000000001,0.6130000000000001,0.6070000000000001,0.5700000000000001,23,23,16
62,65,0.81,0.666,0.6460000000000001,0.6105,0.56875,23,23,16
63,66,0.82,0.668,0.6670000000000001,0.6045,0.5672499999999999,23,23,16
64,67,0.72,0.6719999999999999,0.663,0.6210000000000001,0.5647500000000001,23,23,16
65,68,0.8,0.6679999999999999,0.7090000000000001,0.6230000000000001,0.568,23,23,16
66,69,0.82,0.792,0.729,0.6475000000000002,0.575,23,23,16
67,70,0.67,0.7939999999999998,0.73,0.6725000000000001,0.58075,23,23,16
68,71,0.47,0.7659999999999999,0.717,0.6725000000000001,0.5845,23,23,16
69,72,0.38,0.696,0.6839999999999999,0.672,0.58475,23,23,16
70,73,0.47,0.6279999999999999,0.6479999999999999,0.661,0.58875,23,23,16
71,74,0.85,0.5619999999999999,0.6769999999999999,0.6450000000000001,0.595,23,23,16
72,75,0.74,0.568,0.6809999999999999,0.6635000000000002,0.60575,23,23,16
73,76,0.89,0.5820000000000001,0.674,0.6705000000000001,0.61275,23,23,16
74,77,0.81,0.666,0.6809999999999999,0.672,0.6212500000000001,23,23,16
75,78,0.8,0.752,0.6900000000000001,0.6995,0.6212500000000001,23,23,16
76,79,0.91,0.818,0.69,0.7095,0.6315,23,23,16
77,80,0.92,0.8300000000000001,0.6990000000000001,0.7145,0.64075,23,23,16
78,81,0.89,0.866,0.724,0.7205,0.6497499999999999,23,23,16
79,82,0.94,0.866,0.7659999999999999,0.725,0.6665,23,23,16
80,83,0.97,0.892,0.8220000000000001,0.735,0.67975,23,23,16
81,84,0.9,0.9259999999999999,0.8720000000000001,0.7745,0.69075,23,23,16
82,85,0.84,0.924,0.877,0.779,0.69475,23,23,16
83,86,0.89,0.908,0.8869999999999999,0.7805,0.6925,23,23,16
84,87,0.65,0.908,0.8870000000000001,0.784,0.7025,23,23,16
85,88,0.61,0.85,0.8710000000000001,0.7805000000000001,0.70175,23,23,16
