,time,confidence,avg_5_conf,avg_10_conf,avg_20_conf,avg_40_conf,real_user,predicted,user_count
0,3,0.71,,,,,13,13,16
1,4,0.27,0.71,0.71,0.71,0.71,13,13,16
2,5,0.37,0.49,0.49,0.49,0.49,13,13,16
3,6,0.64,0.45,0.45,0.45,0.45,13,13,16
4,7,0.64,0.49750000000000005,0.49750000000000005,0.49750000000000005,0.49750000000000005,13,13,16
5,8,0.64,0.526,0.526,0.526,0.526,13,13,16
6,9,0.84,0.512,0.545,0.545,0.545,13,13,16
7,10,0.82,0.626,0.5871428571428572,0.5871428571428572,0.5871428571428572,13,13,16
8,11,0.88,0.716,0.61625,0.61625,0.61625,13,13,16
9,12,0.76,0.764,0.6455555555555555,0.6455555555555555,0.6455555555555555,13,13,16
10,13,0.36,0.7879999999999999,0.6569999999999999,0.6569999999999999,0.6569999999999999,13,13,16
11,14,0.7,0.732,0.622,0.63,0.63,13,13,16
12,15,0.46,0.704,0.665,0.6358333333333334,0.6358333333333334,13,13,16
13,16,0.52,0.632,0.674,0.6223076923076923,0.6223076923076923,13,13,16
14,17,0.61,0.56,0.6620000000000001,0.615,0.615,13,13,16
15,18,0.44,0.53,0.659,0.6146666666666666,0.6146666666666666,13,13,16
16,19,0.45,0.546,0.639,0.60375,0.60375,13,13,16
17,20,0.54,0.496,0.6000000000000001,0.5947058823529412,0.5947058823529412,13,13,16
18,21,0.66,0.512,0.5720000000000001,0.5916666666666666,0.5916666666666666,13,13,16
19,22,0.53,0.54,0.55,0.5952631578947368,0.5952631578947368,13,13,16
20,23,0.74,0.524,0.527,0.5919999999999999,0.5919999999999999,13,13,16
21,24,0.77,0.584,0.5650000000000002,0.5935,0.5990476190476189,13,13,16
22,25,0.8,0.648,0.5720000000000001,0.6184999999999999,0.6068181818181817,13,13,16
23,26,0.76,0.7,0.606,0.64,0.6152173913043477,13,13,16
24,27,0.6,0.72,0.63,0.6460000000000001,0.62125,13,13,16
25,28,0.62,0.7340000000000001,0.6289999999999999,0.6439999999999999,0.6204,13,13,16
26,29,0.64,0.7100000000000001,0.647,0.643,0.6203846153846153,13,13,16
27,30,0.23,0.684,0.666,0.6329999999999999,0.6211111111111111,13,17,16
28,31,0.49,0.5700000000000001,0.635,0.6035,0.6071428571428571,13,13,16
29,32,0.63,0.516,0.6180000000000001,0.584,0.603103448275862,13,13,16
30,33,0.71,0.522,0.628,0.5775000000000001,0.6039999999999999,13,13,16
31,34,0.44,0.5399999999999999,0.625,0.5950000000000001,0.6074193548387096,13,13,16
32,35,0.5,0.5,0.5920000000000001,0.5820000000000001,0.6021875000000001,13,13,16
33,36,0.47,0.554,0.562,0.5840000000000001,0.5990909090909092,13,13,16
34,37,0.88,0.55,0.5329999999999999,0.5814999999999999,0.5952941176470589,13,13,16
35,38,0.76,0.6,0.5609999999999999,0.595,0.6034285714285714,13,13,16
36,39,0.33,0.61,0.575,0.611,0.6077777777777779,13,13,16
37,40,0.48,0.5880000000000001,0.5439999999999999,0.6050000000000001,0.6002702702702702,13,13,16
38,41,0.54,0.5840000000000001,0.5690000000000002,0.6020000000000001,0.5971052631578948,13,13,16
39,42,0.81,0.5980000000000001,0.5740000000000001,0.5960000000000001,0.5956410256410256,13,13,16
40,43,0.92,0.5840000000000001,0.592,0.6100000000000001,0.601,13,13,16
41,44,0.45,0.616,0.6130000000000001,0.619,0.60625,13,13,16
42,45,0.54,0.64,0.6140000000000001,0.603,0.61075,13,13,16
43,46,0.54,0.652,0.6180000000000001,0.5900000000000001,0.615,13,13,16
44,47,0.7,0.652,0.625,0.579,0.6125,13,13,16
45,48,0.55,0.6300000000000001,0.607,0.5839999999999999,0.614,13,13,16
46,49,0.72,0.556,0.5860000000000001,0.5805,0.61175,13,13,16
47,50,0.89,0.61,0.625,0.5845,0.6087499999999999,13,13,16
48,51,0.67,0.6799999999999999,0.666,0.6174999999999999,0.6105,13,13,16
49,52,0.63,0.706,0.6789999999999999,0.6265000000000001,0.6052500000000001,13,13,16
50,53,0.72,0.692,0.661,0.6265000000000001,0.602,13,13,16
51,54,0.84,0.726,0.641,0.627,0.611,13,13,16
52,55,0.76,0.75,0.6799999999999999,0.647,0.6144999999999999,13,13,16
53,56,0.75,0.724,0.702,0.66,0.6220000000000001,13,13,16
54,57,0.91,0.74,0.7230000000000001,0.674,0.62775,13,13,16
55,58,0.86,0.796,0.744,0.6755,0.63525,13,13,16
56,59,0.91,0.8240000000000001,0.7750000000000001,0.6804999999999999,0.6457499999999999,13,13,16
57,60,0.93,0.8379999999999999,0.794,0.7095,0.65725,13,13,16
58,61,0.86,0.8720000000000001,0.798,0.732,0.667,13,13,16
59,62,0.7,0.8940000000000001,0.817,0.7479999999999999,0.6719999999999999,13,13,16
60,63,0.38,0.852,0.8240000000000001,0.7424999999999999,0.6762499999999999,13,13,16
61,64,0.68,0.756,0.79,0.7154999999999999,0.6672499999999999,13,13,16
62,65,0.42,0.7100000000000001,0.774,0.7269999999999999,0.665,13,13,16
63,66,0.55,0.608,0.74,0.721,0.6555,13,13,16
64,67,0.9,0.546,0.72,0.7215,0.65025,13,13,16
65,68,0.79,0.5860000000000001,0.7190000000000001,0.7315,0.6577500000000001,13,13,16
66,69,0.76,0.668,0.7120000000000001,0.7435,0.662,13,13,16
67,70,0.89,0.6839999999999999,0.697,0.7455,0.665,13,13,16
68,71,0.69,0.778,0.693,0.7455,0.6815,13,13,16
69,72,0.78,0.806,0.6759999999999999,0.7464999999999999,0.6865,13,13,16
70,73,0.69,0.782,0.684,0.754,0.69025,13,13,16
71,74,0.78,0.762,0.7150000000000001,0.7525,0.6897499999999999,13,13,16
72,75,0.95,0.766,0.7250000000000001,0.7494999999999999,0.69825,13,13,16
73,76,0.42,0.7780000000000001,0.778,0.7589999999999999,0.7095,13,11,16
74,77,0.56,0.724,0.7649999999999999,0.7424999999999999,0.7082499999999999,13,13,16
75,78,0.3,0.6799999999999999,0.7310000000000001,0.7249999999999999,0.7002499999999999,13,13,16
76,79,0.43,0.602,0.6819999999999999,0.6970000000000001,0.68875,13,13,16
77,80,0.61,0.532,0.6489999999999999,0.673,0.6912499999999999,13,13,16
78,81,0.46,0.46399999999999997,0.621,0.657,0.6945,13,13,16
79,82,0.44,0.472,0.5980000000000001,0.6370000000000001,0.6925000000000001,13,13,16
80,83,0.59,0.44799999999999995,0.5640000000000001,0.6239999999999999,0.68325,13,13,16
81,84,0.6,0.506,0.554,0.6345,0.675,13,13,16
