,time,confidence,avg_5_conf,avg_10_conf,avg_20_conf,avg_40_conf,real_user,predicted,user_count
0,3,0.78,,,,,17,17,16
1,4,0.79,0.78,0.78,0.78,0.78,17,17,16
2,5,0.64,0.785,0.785,0.785,0.785,17,17,16
3,6,0.84,0.7366666666666667,0.7366666666666667,0.7366666666666667,0.7366666666666667,17,17,16
4,7,0.79,0.7625,0.7625,0.7625,0.7625,17,17,16
5,8,0.87,0.768,0.768,0.768,0.768,17,17,16
6,9,0.85,0.786,0.785,0.785,0.785,17,17,16
7,10,0.78,0.798,0.7942857142857143,0.7942857142857143,0.7942857142857143,17,17,16
8,11,0.77,0.826,0.7925,0.7925,0.7925,17,17,16
9,12,0.77,0.812,0.7899999999999999,0.7899999999999999,0.7899999999999999,17,17,16
10,13,0.65,0.808,0.7879999999999999,0.7879999999999999,0.7879999999999999,17,17,16
11,14,0.79,0.764,0.775,0.7754545454545454,0.7754545454545454,17,17,16
12,15,0.73,0.752,0.7750000000000001,0.7766666666666667,0.7766666666666667,17,17,16
13,16,0.45,0.742,0.784,0.7730769230769231,0.7730769230769231,17,17,16
14,17,0.9,0.678,0.745,0.75,0.75,17,17,16
15,18,0.59,0.704,0.756,0.76,0.76,17,17,16
16,19,0.79,0.692,0.728,0.749375,0.749375,17,17,16
17,20,0.88,0.692,0.722,0.751764705882353,0.751764705882353,17,17,16
18,21,0.64,0.722,0.732,0.758888888888889,0.758888888888889,17,17,16
19,22,0.72,0.76,0.719,0.7526315789473685,0.7526315789473685,17,17,16
20,23,0.83,0.724,0.714,0.7510000000000001,0.7510000000000001,17,17,16
21,24,0.51,0.772,0.732,0.7535000000000001,0.754761904761905,17,17,16
22,25,0.85,0.716,0.704,0.7395,0.7436363636363638,17,17,16
23,26,0.68,0.7100000000000001,0.716,0.75,0.7482608695652175,17,17,16
24,27,0.76,0.718,0.7389999999999999,0.7419999999999999,0.7454166666666667,17,17,16
25,28,0.84,0.726,0.7249999999999999,0.7404999999999999,0.7460000000000001,17,17,16
26,29,0.88,0.728,0.75,0.739,0.7496153846153847,17,17,16
27,30,0.86,0.8019999999999999,0.7589999999999999,0.7405,0.7544444444444445,17,17,16
28,31,0.93,0.8039999999999999,0.757,0.7445,0.7582142857142857,17,17,16
29,32,0.91,0.8539999999999999,0.786,0.7525,0.7641379310344828,17,17,16
30,33,0.66,0.884,0.8049999999999999,0.7595,0.769,17,17,16
31,34,0.8,0.8480000000000001,0.788,0.76,0.765483870967742,17,17,16
32,35,0.74,0.8320000000000001,0.817,0.7605000000000001,0.7665625,17,17,16
33,36,0.78,0.808,0.806,0.761,0.7657575757575757,17,17,16
34,37,0.89,0.7780000000000001,0.8160000000000001,0.7775000000000001,0.7661764705882353,17,17,16
35,38,0.81,0.7740000000000001,0.8290000000000001,0.777,0.7697142857142858,17,17,16
36,39,0.77,0.804,0.826,0.788,0.7708333333333334,17,17,16
37,40,0.79,0.798,0.8150000000000001,0.787,0.7708108108108108,17,17,16
38,41,0.82,0.808,0.8079999999999998,0.7825000000000001,0.7713157894736842,17,17,16
39,42,0.81,0.8160000000000001,0.797,0.7915000000000001,0.7725641025641026,17,17,16
40,43,0.66,0.8,0.7870000000000001,0.796,0.7735,17,17,16
41,44,0.82,0.77,0.7870000000000001,0.7875000000000001,0.7705,17,17,16
42,45,0.68,0.78,0.789,0.8029999999999999,0.77125,17,17,16
43,46,0.66,0.758,0.783,0.7945000000000001,0.77225,17,17,16
44,47,0.88,0.7260000000000001,0.771,0.7935000000000001,0.76775,17,17,16
45,48,0.69,0.74,0.77,0.7995,0.7700000000000001,17,17,16
46,49,0.76,0.746,0.758,0.792,0.7655000000000001,17,17,16
47,50,0.79,0.734,0.757,0.786,0.76325,17,17,16
48,51,0.81,0.756,0.7569999999999999,0.7825000000000001,0.7635,17,17,16
49,52,0.91,0.786,0.756,0.7765,0.7645,17,17,16
50,53,0.82,0.792,0.766,0.7765,0.768,17,17,16
51,54,0.68,0.8180000000000002,0.782,0.7845,0.77225,17,17,16
52,55,0.38,0.8019999999999999,0.768,0.7785000000000001,0.7695000000000001,17,17,16
53,56,0.33,0.72,0.738,0.7605000000000002,0.76075,17,17,16
54,57,0.43,0.624,0.705,0.7380000000000001,0.75775,17,18,16
55,58,0.3,0.528,0.6599999999999999,0.7150000000000001,0.746,17,17,16
56,59,0.67,0.42400000000000004,0.621,0.6895000000000001,0.73875,17,17,16
57,60,0.81,0.422,0.612,0.6845000000000001,0.73575,17,17,16
58,61,0.74,0.508,0.6140000000000001,0.6855,0.734,17,17,16
59,62,0.87,0.5900000000000001,0.607,0.6815000000000001,0.7365,17,17,16
60,63,0.81,0.678,0.603,0.6845000000000001,0.74025,17,17,16
61,64,0.85,0.78,0.602,0.692,0.73975,17,17,16
62,65,0.94,0.8160000000000001,0.619,0.6935,0.74825,17,17,16
63,66,0.46,0.842,0.675,0.7064999999999999,0.7505000000000001,17,17,16
64,67,0.72,0.786,0.688,0.6965000000000001,0.745,17,17,16
65,68,0.5,0.756,0.717,0.6885000000000001,0.744,17,17,16
66,69,0.66,0.694,0.737,0.679,0.7355,17,17,16
67,70,0.77,0.656,0.736,0.6740000000000002,0.7300000000000001,17,17,16
68,71,0.54,0.622,0.732,0.673,0.72775,17,17,16
69,72,0.67,0.638,0.712,0.6595000000000001,0.7180000000000001,17,17,16
70,73,0.74,0.628,0.6920000000000001,0.6475000000000001,0.712,17,17,16
71,74,0.79,0.6759999999999999,0.6849999999999999,0.6435000000000001,0.7140000000000001,17,17,16
72,75,0.94,0.702,0.679,0.649,0.71375,17,17,16
73,76,0.86,0.736,0.679,0.677,0.7187500000000001,17,17,16
74,77,0.22,0.8,0.7190000000000001,0.7034999999999999,0.72075,17,20,16
75,78,0.18,0.71,0.669,0.693,0.7040000000000001,17,20,16
76,79,0.41,0.5980000000000001,0.637,0.6869999999999999,0.68825,17,17,16
77,80,0.56,0.522,0.612,0.674,0.67925,17,17,16
78,81,0.58,0.446,0.591,0.6615,0.6735000000000001,17,17,16
79,82,0.68,0.39,0.5950000000000001,0.6535,0.6675000000000001,17,17,16
80,83,0.61,0.48200000000000004,0.596,0.6439999999999999,0.66425,17,17,16
81,84,0.27,0.568,0.583,0.634,0.663,17,17,16
82,85,0.46,0.54,0.531,0.6049999999999999,0.6492500000000001,17,17,16
83,86,0.67,0.52,0.48299999999999993,0.581,0.64375,17,17,16
84,87,0.73,0.538,0.4640000000000001,0.5915,0.644,17,17,16
85,88,0.43,0.548,0.515,0.5920000000000001,0.64025,17,17,16
86,89,0.74,0.512,0.54,0.5885,0.63375,17,17,16
87,90,0.77,0.6060000000000001,0.5730000000000001,0.5925,0.63325,17,17,16
88,91,0.17,0.6679999999999999,0.594,0.5925,0.63275,17,16,16
89,92,0.66,0.568,0.5529999999999999,0.5740000000000001,0.61675,17,17,16
