approach,model,task,segment_interval,number_of_users,accuracy,true_confidence,false_confidence,user_accuracies,user_true_confidences,user_false_confidences,feature_frequency,epochs
PerSeanceApproach,RandomForest,1,8,3,0.852703959701328,0.845024595361272,0.619826043801498,"{7: 0.9989130434782609, 8: 0.9972565157750344, 10: 0.9760425909494232, 11: 0.9849498327759196, 13: 0.6825127334465195, 14: 0.8680327868852459, 16: 0.972972972972973, 17: 0.9333333333333333, 18: 0.704849498327759, 20: 0.6553030303030303, 21: 0.5606874328678839, 22: 0.7676767676767677, 23: 0.9183006535947713, 24: 0.7729729729729731, 25: 0.9643478260869567, 26: 0.7222222222222222, 27: 0.8626644736842105}","{7: 0.9933361204013379, 8: 0.9818106995884774, 10: 0.8936797057948904, 11: 0.9309386247346113, 13: 0.686087585327179, 14: 0.7973611179894127, 16: 0.8894543212043212, 17: 0.8884601170362705, 18: 0.7633617486416052, 20: 0.6772122940080423, 21: 0.7993253323446493, 22: 0.720967939686071, 23: 0.8779189363300952, 24: 0.8085800196198804, 25: 0.922997024245084, 26: 0.8209950569894596, 27: 0.8283647953313441}","{7: 1.0, 8: 0.55, 10: 0.5291666666666667, 11: 0.6293650793650793, 13: 0.6723039215686275, 14: 0.5516428571428571, 16: 0.565, 17: 0.6070634920634921, 18: 0.5893633288570149, 20: 0.6124368349376451, 21: 0.6226686475084154, 22: 0.6458905005169372, 23: 0.553968253968254, 24: 0.5866054349683921, 25: 0.5735576923076923, 26: 0.6850978770333609, 27: 0.6207020430549841}","{'gy_bin_std': 0.008264462809917356, 'fd_me': 0.8099173553719008, 'm_min': 0.5537190082644629, 'fa_me': 0.45454545454545453, 'm_me': 0.512396694214876, 'm_max': 0.5702479338842975, 'a_me': 0.2809917355371901, 'ay_me': 0.743801652892562, 'ax_me': 0.768595041322314, 'gz_me': 0.8429752066115702, 'fd_bin_5': 0.1322314049586777, 'fd_mcr': 0.09090909090909091, 'fd_bin_6': 0.0743801652892562, 'gx_me': 0.6033057851239669, 'fd_bin_3': 0.1487603305785124, 'fd_bin_std': 0.19008264462809918, 'fd_bin_1': 0.18181818181818182, 'fd_bin_mean': 0.19834710743801653, 'fd_sd': 0.32231404958677684, 'fd_bin_min': 0.06611570247933884, 'fd_bin_9': 0.06611570247933884, 'fd_bin_2': 0.10743801652892562, 'fa_bin_0': 0.008264462809917356, 'fa_bin_1': 0.03305785123966942, 'fc_me': 0.2231404958677686, 'nr_me': 0.09917355371900827, 'ns_me': 0.01652892561983471, 'fb_me': 0.45454545454545453, 'fd_bin_0': 0.2396694214876033, 'g_me': 0.21487603305785125, 'az_me': 0.04132231404958678, 'gy_me': 0.03305785123966942, 'fa_bin_4': 0.024793388429752067, 'fa_bin_max': 0.008264462809917356, 'fd_bin_max': 0.2066115702479339, 'cc_me': 0.04132231404958678, 'fa_bin_2': 0.008264462809917356, 'g_sd': 0.008264462809917356, 'fa_bin_mean': 0.049586776859504134, 'fd_bin_8': 0.05785123966942149, 'fd_bin_4': 0.14049586776859505, 'fa_mcr': 0.024793388429752067, 'fa_bin_6': 0.03305785123966942, 'fa_bin_min': 0.05785123966942149, 'fa_bin_9': 0.03305785123966942, 'fa_bin_8': 0.01652892561983471, 'cc_min': 0.024793388429752067, 'fa_bin_5': 0.008264462809917356, 'fa_sd': 0.01652892561983471, 'ax_mcr': 0.008264462809917356, 'gz_sd': 0.024793388429752067, 'fd_bin_7': 0.04132231404958678, 'fa_bin_3': 0.008264462809917356, 'cb_me': 0.01652892561983471, 'gy_bin_3': 0.008264462809917356, 'gy_bin_9': 0.008264462809917356, 'cd_max': 0.008264462809917356, 'cd_me': 0.008264462809917356, 'ca_me': 0.008264462809917356, 'ca_min': 0.008264462809917356}",121
PerSeanceApproach,RandomForest,2,8,3,0.786781678535766,0.836893930994,0.625962524402357,"{7: 1.0, 8: 0.6925490196078431, 9: 0.39814814814814814, 10: 0.016233766233766236, 11: 0.9966666666666666, 13: 0.3987671882408725, 14: 0.8218475073313783, 15: 0.8894634776987718, 16: 0.9732441471571907, 17: 0.9879879879879879, 18: 0.8805224740683827, 19: 0.980599647266314, 20: 0.7348178137651822, 21: 0.6499999999999999, 22: 0.8072727272727274, 23: 0.8997289972899729, 24: 0.7768878718535469, 25: 0.9512820512820513, 26: 0.9523809523809523, 27: 0.9333333333333332}","{7: 0.9772475027746947, 8: 0.8029462946312264, 9: 0.6076844367753459, 10: 0.8, 11: 0.9594736842105263, 13: 0.6046386473719051, 14: 0.8168771636436895, 15: 0.8724514944141197, 16: 0.9422326948413905, 17: 0.9632450632450633, 18: 0.8595206147391325, 19: 0.9174749316150609, 20: 0.7251861868427614, 21: 0.7798758730476684, 22: 0.7244852461500377, 23: 0.8680566496259692, 24: 0.7334714047551569, 25: 0.8934924845269674, 26: 0.8830194908658577, 27: 0.8599728629913503}","{7: -1, 8: 0.8116666666666668, 9: 0.6049495901786274, 10: 0.7331967635539065, 11: 0.6, 13: 0.626449244053271, 14: 0.646474358974359, 15: 0.5920357340171581, 16: 0.5576923076923077, 17: 0.6, 18: 0.755727381659273, 19: 0.5542628205128206, 20: 0.6205600539811065, 21: 0.6963426222249751, 22: 0.6226616901616902, 23: 0.6086111111111112, 24: 0.541233496924034, 25: 0.5369047619047619, 26: 0.6020837030464359, 27: 0.47549283154121863}","{'a_me': 0.5982905982905983, 'ay_mcr': 0.27350427350427353, 'az_me': 0.15384615384615385, 'm_max': 0.48717948717948717, 'm_me': 0.46153846153846156, 'gx_me': 0.7350427350427351, 'ay_me': 0.8376068376068376, 'm_min': 0.5641025641025641, 'gz_me': 0.8376068376068376, 'ax_me': 0.8803418803418803, 'c_min': 0.02564102564102564, 'fd_me': 0.6068376068376068, 'nr_me': 0.23931623931623933, 'fb_bin_8': 0.008547008547008548, 'fb_bin_7': 0.008547008547008548, 'fc_me': 0.2905982905982906, 'fa_me': 0.38461538461538464, 'fb_me': 0.39316239316239315, 'ns_me': 0.05128205128205128, 'fa_sd': 0.05982905982905983, 'gy_me': 0.1452991452991453, 'gz_sd': 0.042735042735042736, 'cc_me': 0.017094017094017096, 'cc_min': 0.017094017094017096, 'fa_bin_max': 0.06837606837606838, 'ax_mcr': 0.09401709401709402, 'fa_bin_9': 0.02564102564102564, 'fa_bin_5': 0.10256410256410256, 'ay_sd': 0.008547008547008548, 'fd_bin_0': 0.06837606837606838, 'fd_bin_std': 0.05982905982905983, 'fd_bin_max': 0.05982905982905983, 'fd_bin_1': 0.042735042735042736, 'fa_bin_2': 0.08547008547008547, 'fd_bin_4': 0.06837606837606838, 'fd_bin_mean': 0.06837606837606838, 'fd_sd': 0.042735042735042736, 'fa_bin_8': 0.05982905982905983, 'fa_bin_mean': 0.09401709401709402, 'fa_bin_1': 0.07692307692307693, 'fa_bin_4': 0.05982905982905983, 'fa_bin_7': 0.042735042735042736, 'fa_bin_6': 0.042735042735042736, 'fd_bin_7': 0.042735042735042736, 'fd_bin_9': 0.017094017094017096, 'fd_bin_8': 0.02564102564102564, 'fa_bin_0': 0.07692307692307693, 'fa_bin_3': 0.02564102564102564, 'fa_bin_min': 0.017094017094017096, 'fa_bin_std': 0.1111111111111111, 'cd_me': 0.02564102564102564, 'c_me': 0.008547008547008548, 'fd_bin_6': 0.02564102564102564, 'g_me': 0.09401709401709402, 'a_mcr': 0.017094017094017096, 'az_mcr': 0.017094017094017096, 'fd_bin_3': 0.017094017094017096, 'fd_bin_min': 0.02564102564102564, 'fd_bin_2': 0.017094017094017096, 'cb_min': 0.03418803418803419, 'cb_me': 0.03418803418803419, 'fd_bin_5': 0.042735042735042736, 'ca_min': 0.008547008547008548, 'gy_bin_4': 0.008547008547008548, 'cd_max': 0.008547008547008548, 'gz_bin_mean': 0.008547008547008548}",117
PerSeanceApproach,RandomForest,1,32,3,0.824687541756333,0.79471963789717,0.594182500746666,"{7: 1.0, 8: 0.9340659340659341, 10: 0.9807692307692308, 11: 0.986111111111111, 13: 0.6953125, 14: 0.8267857142857142, 16: 0.9840000000000001, 17: 0.925925925925926, 18: 0.5566666666666666, 20: 0.5603864734299516, 21: 0.6521739130434783, 22: 0.6844444444444444, 23: 0.8290598290598291, 24: 0.8225806451612903, 25: 0.9711538461538463, 26: 0.78125, 27: 0.7788461538461539}","{7: 0.9734037944883863, 8: 0.8922095238095238, 10: 0.9113034188034188, 11: 0.9072979797979798, 13: 0.6769531249999999, 14: 0.7687017030588458, 16: 0.8883555555555556, 17: 0.8792348084014749, 18: 0.6685932239057238, 20: 0.6506944444444445, 21: 0.68844818225253, 22: 0.7099685846560847, 23: 0.7409508547008546, 24: 0.775663082437276, 25: 0.8492399961149962, 26: 0.7462486772486773, 27: 0.8099569995222171}","{7: -1, 8: 0.6910189724419314, 10: 0.575, 11: 0.5666666666666667, 13: 0.5950555555555556, 14: 0.6068358585858586, 16: 0.575, 17: 0.6241666666666666, 18: 0.607289411976912, 20: 0.6598287385129492, 21: 0.5949293353705118, 22: 0.5799007936507936, 23: 0.5242630385487528, 24: 0.606383712905452, 25: 0.5357142857142857, 26: 0.5357, 27: 0.6167467948717948}","{'fa_bin_2': 0.026490066225165563, 'm_me': 0.3841059602649007, 'fa_sd': 0.09271523178807947, 'fa_bin_mean': 0.039735099337748346, 'nr_me': 0.08609271523178808, 'a_me': 0.5231788079470199, 'gx_me': 0.7019867549668874, 'fd_me': 0.7682119205298014, 'gz_me': 0.8013245033112583, 'ax_me': 0.6887417218543046, 'ax_bin_5': 0.006622516556291391, 'fd_bin_0': 0.271523178807947, 'fd_bin_max': 0.2582781456953642, 'fd_sd': 0.18543046357615894, 'm_min': 0.26490066225165565, 'm_max': 0.39072847682119205, 'fa_me': 0.32450331125827814, 'ay_bin_1': 0.019867549668874173, 'gx_bin_2': 0.006622516556291391, 'cb_min': 0.052980132450331126, 'cc_me': 0.013245033112582781, 'fb_me': 0.2052980132450331, 'ay_me': 0.6423841059602649, 'fd_bin_mean': 0.17218543046357615, 'fa_bin_7': 0.046357615894039736, 'fd_bin_std': 0.2119205298013245, 'fb_bin_max': 0.026490066225165563, 'fb_bin_0': 0.026490066225165563, 'az_bin_min': 0.013245033112582781, 'gy_me': 0.1986754966887417, 'g_me': 0.0728476821192053, 'fc_sd': 0.019867549668874173, 'gx_sd': 0.006622516556291391, 'fa_bin_min': 0.033112582781456956, 'ax_mcr': 0.006622516556291391, 'ax_sd': 0.006622516556291391, 'fb_bin_1': 0.006622516556291391, 'fc_me': 0.08609271523178808, 'az_me': 0.19205298013245034, 'fd_bin_7': 0.152317880794702, 'fd_mcr': 0.059602649006622516, 'fc_bin_0': 0.013245033112582781, 'fc_bin_max': 0.013245033112582781, 'fc_bin_std': 0.013245033112582781, 'fd_bin_2': 0.11920529801324503, 'fd_bin_1': 0.10596026490066225, 'fd_bin_8': 0.08609271523178808, 'fd_bin_3': 0.11920529801324503, 'fd_bin_5': 0.11920529801324503, 'fd_bin_4': 0.17880794701986755, 'fa_bin_std': 0.059602649006622516, 'fa_bin_4': 0.013245033112582781, 'fa_bin_5': 0.013245033112582781, 'fa_bin_8': 0.026490066225165563, 'fa_bin_6': 0.052980132450331126, 'gy_mcr': 0.033112582781456956, 'fa_bin_1': 0.033112582781456956, 'fa_bin_max': 0.059602649006622516, 'fd_bin_9': 0.07947019867549669, 'ay_bin_7': 0.013245033112582781, 'ns_me': 0.006622516556291391, 'gy_bin_std': 0.026490066225165563, 'gz_sd': 0.033112582781456956, 'fd_bin_6': 0.07947019867549669, 'cc_min': 0.013245033112582781, 'fb_bin_std': 0.013245033112582781, 'fd_bin_min': 0.033112582781456956, 'gz_bin_std': 0.019867549668874173, 'gz_bin_max': 0.013245033112582781, 'gz_bin_0': 0.019867549668874173, 'fa_bin_0': 0.039735099337748346, 'gz_bin_8': 0.006622516556291391, 'ax_bin_2': 0.013245033112582781, 'gx_bin_1': 0.013245033112582781, 'ca_min': 0.019867549668874173, 'cb_me': 0.026490066225165563, 'c_min': 0.026490066225165563, 'gy_bin_max': 0.026490066225165563, 'gy_sd': 0.013245033112582781, 'g_sd': 0.026490066225165563, 'gy_bin_5': 0.006622516556291391, 'gy_bin_mean': 0.013245033112582781, 'gz_bin_4': 0.006622516556291391, 'fa_bin_3': 0.019867549668874173, 'gy_bin_min': 0.019867549668874173, 'gy_bin_6': 0.026490066225165563, 'ay_mcr': 0.026490066225165563, 'az_sd': 0.013245033112582781, 'cd_me': 0.013245033112582781, 'ax_bin_8': 0.006622516556291391, 'az_bin_mean': 0.006622516556291391, 'ax_bin_9': 0.013245033112582781, 'ax_bin_min': 0.006622516556291391, 'fa_bin_9': 0.006622516556291391, 'gz_bin_1': 0.006622516556291391, 'ax_mai': 0.006622516556291391, 'gy_bin_2': 0.026490066225165563, 'fa_mcr': 0.006622516556291391, 'gy_bin_0': 0.006622516556291391, 'gy_bin_8': 0.006622516556291391, 'gz_bin_3': 0.006622516556291391, 'az_bin_1': 0.013245033112582781, 'az_bin_7': 0.006622516556291391, 'az_bin_5': 0.006622516556291391, 'a_mai': 0.006622516556291391}",151
PerSeanceApproach,RandomForest,2,32,3,0.819572472343414,0.8058680942003,0.604627940269849,"{7: 1.0, 8: 0.7033492822966507, 9: 0.3759398496240602, 10: 0.24401913875598089, 11: 1.0, 13: 0.6654135338345865, 14: 0.8576388888888888, 15: 0.9424242424242425, 16: 0.9558823529411765, 17: 0.9076923076923078, 18: 0.7899999999999999, 19: 0.9605263157894737, 20: 0.7586206896551724, 21: 0.7532467532467532, 22: 0.8727272727272727, 23: 0.9404388714733543, 24: 0.6704545454545454, 25: 0.95625, 26: 0.9758454106280192, 27: 0.9278846153846154}","{7: 0.9117142857142856, 8: 0.7330393231854144, 9: 0.600920634920635, 10: 0.6286868686868686, 11: 0.9299999999999999, 13: 0.581072327511458, 14: 0.7721924603174604, 15: 0.8479126670431019, 16: 0.8912745098039216, 17: 0.9104410866910867, 18: 0.808934377917834, 19: 0.8799774056353005, 20: 0.7142945326278658, 21: 0.786076388888889, 22: 0.777972101972102, 23: 0.852156043190526, 24: 0.6672117276662731, 25: 0.8445178571428572, 26: 0.8875071042909916, 27: 0.8397435897435898}","{7: -1, 8: 0.780542264752791, 9: 0.5972354497354497, 10: 0.6608250572956454, 11: -1, 13: 0.5659844322344322, 14: 0.5407449494949494, 15: 0.5466666666666667, 16: 0.6100000000000001, 17: 0.68, 18: 0.6190509510255715, 19: 0.6157142857142857, 20: 0.6828720238095238, 21: 0.6666666666666666, 22: 0.5851388888888889, 23: 0.5886363636363637, 24: 0.5436340852130326, 25: 0.5, 26: 0.5428571428571428, 27: 0.4982142857142857}","{'fd_bin_std': 0.0821917808219178, 'a_mcr': 0.1506849315068493, 'az_mcr': 0.13013698630136986, 'az_me': 0.5342465753424658, 'ay_mcr': 0.3356164383561644, 'gz_me': 0.7945205479452054, 'ay_me': 0.821917808219178, 'ax_me': 0.8561643835616438, 'gy_me': 0.4726027397260274, 'gx_me': 0.8082191780821918, 'fd_bin_mean': 0.11643835616438356, 'fa_bin_8': 0.0821917808219178, 'm_min': 0.0684931506849315, 'fd_bin_0': 0.0684931506849315, 'fd_bin_max': 0.0821917808219178, 'm_me': 0.17123287671232876, 'm_max': 0.22602739726027396, 'fd_bin_5': 0.10273972602739725, 'fd_bin_6': 0.04794520547945205, 'fd_me': 0.4178082191780822, 'gz_sd': 0.0410958904109589, 'a_me': 0.7534246575342466, 'fb_bin_mean': 0.0273972602739726, 'fa_bin_9': 0.1095890410958904, 'fa_bin_6': 0.17123287671232876, 'fd_bin_3': 0.07534246575342465, 'fd_bin_4': 0.1095890410958904, 'fd_bin_7': 0.10273972602739725, 'fd_bin_2': 0.06164383561643835, 'fd_bin_8': 0.0821917808219178, 'fb_bin_6': 0.02054794520547945, 'ca_me': 0.0136986301369863, 'cd_me': 0.02054794520547945, 'fa_me': 0.2876712328767123, 'cc_min': 0.02054794520547945, 'fa_bin_4': 0.0821917808219178, 'fa_bin_min': 0.0821917808219178, 'fa_bin_5': 0.07534246575342465, 'fa_bin_2': 0.08904109589041095, 'fa_bin_mean': 0.07534246575342465, 'fa_bin_3': 0.0821917808219178, 'g_me': 0.0821917808219178, 'cd_min': 0.02054794520547945, 'fa_bin_1': 0.06164383561643835, 'fd_sd': 0.04794520547945205, 'fb_bin_max': 0.0273972602739726, 'fb_bin_0': 0.02054794520547945, 'fc_me': 0.03424657534246575, 'fb_bin_std': 0.0273972602739726, 'fb_me': 0.08904109589041095, 'ay_bin_7': 0.02054794520547945, 'cc_me': 0.00684931506849315, 'ay_bin_min': 0.0136986301369863, 'gy_bin_9': 0.0136986301369863, 'gy_bin_2': 0.00684931506849315, 'nr_me': 0.0684931506849315, 'fd_mcr': 0.0410958904109589, 'fd_bin_min': 0.03424657534246575, 'fd_bin_9': 0.0410958904109589, 'gz_bin_max': 0.0136986301369863, 'gz_bin_0': 0.0136986301369863, 'fb_sd': 0.02054794520547945, 'ax_mcr': 0.04794520547945205, 'az_bin_8': 0.0136986301369863, 'cb_me': 0.04794520547945205, 'az_bin_5': 0.0136986301369863, 'fb_bin_1': 0.00684931506849315, 'fb_bin_5': 0.00684931506849315, 'fb_bin_3': 0.0136986301369863, 'fa_bin_7': 0.03424657534246575, 'fa_bin_std': 0.03424657534246575, 'fa_bin_max': 0.0273972602739726, 'fa_bin_0': 0.0273972602739726, 'fd_bin_1': 0.0410958904109589, 'g_sd': 0.00684931506849315, 'fa_sd': 0.02054794520547945, 'gz_bin_4': 0.0136986301369863, 'c_min': 0.0136986301369863, 'cb_min': 0.0136986301369863, 'fc_bin_1': 0.00684931506849315, 'gz_bin_mean': 0.0273972602739726, 'fa_mcr': 0.00684931506849315, 'ay_bin_std': 0.02054794520547945, 'gz_bin_5': 0.00684931506849315, 'gz_bin_3': 0.00684931506849315, 'gz_bin_min': 0.00684931506849315, 'gz_bin_9': 0.00684931506849315, 'gz_bin_6': 0.00684931506849315, 'gz_bin_7': 0.00684931506849315, 'fc_bin_std': 0.00684931506849315, 'gy_mcr': 0.0136986301369863, 'ca_min': 0.00684931506849315, 'gz_bin_2': 0.00684931506849315, 'ay_bin_4': 0.00684931506849315, 'ay_bin_9': 0.00684931506849315, 'ay_bin_8': 0.00684931506849315}",146
PerSeanceApproach,RandomForest,1,8,5,0.752857062094781,0.745154329797918,0.55849851526898,"{7: 0.9945652173913043, 8: 0.9844054580896685, 10: 0.9849157054126, 11: 0.9792960662525881, 13: 0.3911290322580645, 14: 0.702576112412178, 16: 0.9718468468468467, 17: 0.9507246376811594, 18: 0.6139430284857572, 20: 0.3874458874458874, 21: 0.5467980295566502, 22: 0.4764309764309764, 23: 0.9502262443438915, 24: 0.7683397683397685, 25: 0.9763636363636364, 26: 0.5315789473684212, 27: 0.6666666666666666}","{7: 0.9035451505016722, 8: 0.8731084120557804, 10: 0.8564706851872645, 11: 0.9200348202522115, 13: 0.5586693727978165, 14: 0.6453489580955595, 16: 0.8363199727512608, 17: 0.8399199568106809, 18: 0.6576340350377212, 20: 0.5508099718381976, 21: 0.6372404827046437, 22: 0.6186092402221435, 23: 0.8353887040378974, 24: 0.7386906387639909, 25: 0.8957670391496378, 26: 0.667981996309041, 27: 0.6357902460418877}","{7: 0.625, 8: 0.5333333333333333, 10: 0.5515151515151515, 11: 0.5399999999999999, 13: 0.5985414689610092, 14: 0.5336236703504318, 16: 0.5925, 17: 0.5442602040816326, 18: 0.4893417285180924, 20: 0.6149725933617559, 21: 0.5946599215723973, 22: 0.6106545614878948, 23: 0.4858974358974359, 24: 0.5963772175536881, 25: 0.5613888888888889, 26: 0.5248431228422218, 27: 0.5313827895403268}","{'fa_me': 0.7272727272727273, 'fb_me': 0.6233766233766234, 'gx_me': 0.8571428571428571, 'gz_me': 0.961038961038961, 'fd_me': 0.935064935064935, 'm_me': 0.7532467532467533, 'm_min': 0.8441558441558441, 'm_max': 0.8181818181818182, 'ay_me': 0.935064935064935, 'ax_me': 0.8961038961038961, 'fd_bin_mean': 0.1038961038961039, 'fd_bin_max': 0.11688311688311688, 'fd_bin_std': 0.15584415584415584, 'fd_sd': 0.2987012987012987, 'fc_me': 0.23376623376623376, 'g_me': 0.16883116883116883, 'fd_bin_1': 0.025974025974025976, 'fd_bin_0': 0.09090909090909091, 'a_me': 0.18181818181818182, 'az_me': 0.012987012987012988, 'nr_me': 0.12987012987012986, 'fd_bin_2': 0.025974025974025976, 'fd_bin_3': 0.03896103896103896, 'fd_bin_4': 0.012987012987012988, 'cd_me': 0.012987012987012988, 'fa_bin_4': 0.012987012987012988, 'fd_mcr': 0.012987012987012988, 'fa_bin_8': 0.012987012987012988}",77
PerSeanceApproach,RandomForest,2,8,5,0.693750221449898,0.732283636916287,0.558856988223461,"{7: 0.9980139026812315, 8: 0.3804444444444445, 9: 0.30617283950617286, 10: 0.1268939393939394, 11: 0.9984848484848485, 13: 0.21714818266542404, 14: 0.8077956989247311, 15: 0.9178762414056532, 16: 0.9826086956521739, 17: 0.9305019305019304, 18: 0.7545620437956204, 19: 0.93734335839599, 20: 0.4076923076923077, 21: 0.5418660287081339, 22: 0.7818181818181819, 23: 0.8670731707317072, 24: 0.5860113421550096, 25: 0.9444444444444444, 26: 0.9382482671707626, 27: 0.918956043956044}","{7: 0.8157641606791673, 8: 0.4761999954792672, 9: 0.4611417821944137, 10: 0.39962791594370545, 11: 0.942226502311248, 13: 0.44933901135342236, 14: 0.7186924769368562, 15: 0.8325106735728213, 16: 0.9134858963394433, 17: 0.8990905058720183, 18: 0.7582063216920519, 19: 0.883082585448314, 20: 0.4969665655695068, 21: 0.6687167544871134, 22: 0.63551087893643, 23: 0.7953309649080246, 24: 0.6249027221792067, 25: 0.7674144493009226, 26: 0.8649259743947821, 27: 0.8148602556156526}","{7: 0.55, 8: 0.6175514149331622, 9: 0.5846557454890787, 10: 0.6415761624123457, 11: 0.5, 13: 0.5473259321017276, 14: 0.49912688667921223, 15: 0.5618781127090885, 16: 0.521875, 17: 0.6155442176870748, 18: 0.657341311015391, 19: 0.521031746031746, 20: 0.5271096911802794, 21: 0.6005804086900637, 22: 0.5142286184156103, 23: 0.5563553113553112, 24: 0.5483907072537925, 25: 0.4801190476190476, 26: 0.5324149659863946, 27: 0.4866072816072816}","{'m_max': 0.72, 'fd_me': 0.72, 'm_min': 0.8133333333333334, 'm_me': 0.72, 'gx_me': 0.7866666666666666, 'fb_me': 0.41333333333333333, 'a_me': 0.7333333333333333, 'ay_me': 0.9866666666666667, 'gz_me': 0.9866666666666667, 'ax_me': 0.9866666666666667, 'nr_me': 0.5066666666666667, 'fc_me': 0.2, 'fa_me': 0.49333333333333335, 'fd_bin_std': 0.05333333333333334, 'fa_bin_5': 0.06666666666666667, 'fa_bin_mean': 0.08, 'fa_bin_1': 0.05333333333333334, 'fa_bin_std': 0.05333333333333334, 'fa_bin_3': 0.013333333333333334, 'ay_mcr': 0.13333333333333333, 'gy_me': 0.013333333333333334, 'fa_bin_4': 0.04, 'g_me': 0.04, 'fd_bin_min': 0.013333333333333334, 'fd_bin_5': 0.02666666666666667, 'fa_bin_max': 0.04, 'fa_bin_0': 0.02666666666666667, 'fd_bin_9': 0.013333333333333334, 'fd_bin_mean': 0.04, 'fd_bin_0': 0.04, 'fd_bin_max': 0.05333333333333334, 'fd_bin_1': 0.013333333333333334, 'gz_sd': 0.013333333333333334, 'fa_bin_2': 0.013333333333333334, 'fd_bin_7': 0.013333333333333334, 'fa_bin_7': 0.02666666666666667, 'fa_bin_6': 0.013333333333333334, 'az_me': 0.013333333333333334, 'fd_sd': 0.013333333333333334, 'fd_bin_8': 0.013333333333333334}",75
PerSeanceApproach,RandomForest,1,32,5,0.762408745826879,0.716331966505716,0.532381842809968,"{7: 1.0, 8: 0.9196428571428572, 10: 0.9862637362637363, 11: 0.9722222222222222, 13: 0.56, 14: 0.7645833333333333, 16: 0.928125, 17: 0.8548387096774195, 18: 0.5333333333333333, 20: 0.30769230769230765, 21: 0.5128205128205128, 22: 0.5868055555555556, 23: 0.78743961352657, 24: 0.7642857142857141, 25: 0.9570135746606335, 26: 0.7148148148148148, 27: 0.7214285714285714}","{7: 0.9355555555555555, 8: 0.8007738095238095, 10: 0.8349969474969475, 11: 0.8579966329966332, 13: 0.5610515873015873, 14: 0.6386249306249306, 16: 0.8034883432539683, 17: 0.8030554391844716, 18: 0.577090112952182, 20: 0.5545416666666667, 21: 0.5816740296740298, 22: 0.5976828231292517, 23: 0.6986507936507936, 24: 0.6533205782312924, 25: 0.8408045385986562, 26: 0.6470399764844209, 27: 0.6924336774336775}","{7: -1, 8: 0.5599999999999999, 10: 0.42500000000000004, 11: 0.5714285714285714, 13: 0.5419940476190476, 14: 0.4917998163452708, 16: 0.5777777777777777, 17: 0.5650935374149659, 18: 0.5068124098124097, 20: 0.5516422466422467, 21: 0.549126221001221, 22: 0.5297883597883598, 23: 0.4745370370370371, 24: 0.5208680555555555, 25: 0.5125000000000001, 26: 0.48742424242424237, 27: 0.5643650793650794}","{'m_min': 0.32, 'gz_sd': 0.01, 'm_me': 0.48, 'ay_me': 0.97, 'gy_me': 0.22, 'ax_me': 0.84, 'fd_me': 0.9, 'fa_me': 0.41, 'gx_me': 0.89, 'gz_me': 0.97, 'fd_bin_2': 0.16, 'fb_me': 0.23, 'm_max': 0.57, 'fd_bin_max': 0.26, 'fd_bin_0': 0.28, 'fd_bin_std': 0.21, 'fd_sd': 0.2, 'fd_bin_3': 0.11, 'fd_bin_7': 0.03, 'fd_bin_4': 0.18, 'a_me': 0.64, 'fd_bin_1': 0.13, 'gy_bin_1': 0.03, 'gy_bin_2': 0.02, 'gy_bin_std': 0.01, 'az_me': 0.25, 'fd_bin_mean': 0.12, 'fa_bin_0': 0.04, 'ay_mcr': 0.01, 'fa_bin_max': 0.05, 'g_me': 0.02, 'fd_bin_min': 0.02, 'fa_bin_mean': 0.02, 'fa_bin_std': 0.03, 'fd_bin_9': 0.02, 'fd_bin_5': 0.03, 'gy_bin_mean': 0.04, 'fd_bin_8': 0.02, 'fa_sd': 0.01, 'ca_min': 0.03, 'nr_me': 0.02, 'az_bin_2': 0.01, 'cb_me': 0.02, 'g_sd': 0.03, 'gy_sd': 0.02, 'fc_me': 0.04, 'fa_bin_7': 0.01, 'fa_bin_4': 0.01, 'fd_mcr': 0.01, 'ax_bin_min': 0.01, 'fa_bin_6': 0.01, 'gy_bin_7': 0.01, 'ay_mai': 0.01, 'fa_bin_min': 0.01}",100
