approach,model,task,segment_interval,number_of_users,accuracy,accuracy_sd,true_confidence,true_confidence_sd,false_confidence,false_confidence_sd,user_accuracies,user_accuracies_sd,user_true_confidences,user_true_confidences_sd,user_false_confidences,user_false_confidences_sd,feature_frequency,epochs
PerSeanceApproach,MajorityClassifier,1,8,-1,0.08888888888888889,0.0,1.0,0.0,1.0,0.0,"{7: 0.0, 8: 0.0, 10: 0.0, 11: 0.0, 13: 0.0, 14: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 1.0}","{7: 0.0, 8: 0.0, 10: 0.0, 11: 0.0, 13: 0.0, 14: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0}","{7: nan, 8: nan, 10: nan, 11: nan, 13: nan, 14: nan, 16: nan, 17: nan, 18: nan, 20: nan, 21: nan, 22: nan, 23: nan, 24: nan, 25: nan, 26: nan, 27: 1.0}","{7: nan, 8: nan, 10: nan, 11: nan, 13: nan, 14: nan, 16: nan, 17: nan, 18: nan, 20: nan, 21: nan, 22: nan, 23: nan, 24: nan, 25: nan, 26: nan, 27: 0.0}","{7: 1.0, 8: 1.0, 10: 1.0, 11: 1.0, 13: 1.0, 14: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: nan}","{7: 0.0, 8: 0.0, 10: 0.0, 11: 0.0, 13: 0.0, 14: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: nan}","{'fa_me': 1.0, 'fb_me': 1.0, 'gx_me': 1.0, 'm_max': 1.0, 'm_me': 1.0, 'm_min': 1.0, 'ay_me': 1.0, 'fd_me': 1.0, 'gz_me': 1.0, 'ax_me': 1.0}",3
PerSeanceApproach,KNearestNeighbors,1,8,-1,0.20694444444444446,2.7755575615628914e-17,0.825538438170017,0.0,0.7552888435742867,1.1102230246251565e-16,"{7: 0.975, 8: 0.8148148148148148, 10: 0.16326530612244897, 11: 0.391304347826087, 13: 0.25806451612903225, 14: 0.09836065573770492, 16: 0.16216216216216217, 17: 0.1111111111111111, 18: 0.08695652173913043, 20: 0.0, 21: 0.04081632653061224, 22: 0.030303030303030304, 23: 0.5588235294117647, 24: 0.02702702702702703, 25: 0.14, 26: 0.07894736842105263, 27: 0.0}","{7: 0.0, 8: 0.0, 10: 0.0, 11: 0.0, 13: 0.0, 14: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0}","{7: 0.9487179487179486, 8: 0.9696969696969696, 10: 0.75, 11: 0.8333333333333334, 13: 0.6666666666666666, 14: 0.7222222222222222, 16: 0.5555555555555555, 17: 0.9333333333333332, 18: 0.9166666666666666, 20: nan, 21: 1.0, 22: 0.6666666666666666, 23: 0.9122807017543858, 24: 0.6666666666666666, 25: 0.9523809523809524, 26: 0.8888888888888888, 27: nan}","{7: 0.0, 8: 0.0, 10: 0.0, 11: 1.1102230246251565e-16, 13: 0.0, 14: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 20: nan, 21: 0.0, 22: 0.0, 23: 1.1102230246251565e-16, 24: 0.0, 25: 0.0, 26: 0.0, 27: nan}","{7: 0.6666666666666666, 8: 0.8666666666666666, 10: 0.7479674796747967, 11: 0.6904761904761906, 13: 0.7101449275362318, 14: 0.8000000000000002, 16: 0.6881720430107526, 17: 0.8666666666666666, 18: 0.7698412698412699, 20: 0.7070707070707072, 21: 0.8297872340425528, 22: 0.6041666666666666, 23: 0.8888888888888887, 24: 0.6666666666666665, 25: 0.6511627906976745, 26: 0.7428571428571429, 27: 0.9427083333333334}","{7: 0.0, 8: 0.0, 10: 0.0, 11: 0.0, 13: 1.1102230246251565e-16, 14: 1.1102230246251565e-16, 16: 1.1102230246251565e-16, 17: 0.0, 18: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 1.1102230246251565e-16}","{'fa_me': 1.0, 'fb_me': 1.0, 'gx_me': 1.0, 'm_max': 1.0, 'm_me': 1.0, 'm_min': 1.0, 'ay_me': 1.0, 'fd_me': 1.0, 'gz_me': 1.0, 'ax_me': 1.0}",3
PerSeanceApproach,SupportVectorMachine,1,8,-1,0.09305555555555556,0.0,0.3921192087062096,0.005394425430744288,0.15994639084937393,0.0028225505916388053,"{7: 0.0, 8: 0.07407407407407407, 10: 0.0, 11: 0.043478260869565216, 13: 0.0, 14: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.984375}","{7: 0.0, 8: 0.0, 10: 0.0, 11: 0.0, 13: 0.0, 14: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0}","{7: nan, 8: 0.6935080236274024, 10: nan, 11: 0.339607634870947, 13: nan, 14: nan, 16: nan, 17: nan, 18: nan, 20: nan, 21: nan, 22: nan, 23: nan, 24: nan, 25: nan, 26: nan, 27: 0.14324196762027952}","{7: nan, 8: 0.007654774757370643, 10: nan, 11: 0.007198289295129273, 13: nan, 14: nan, 16: nan, 17: nan, 18: nan, 20: nan, 21: nan, 22: nan, 23: nan, 24: nan, 25: nan, 26: nan, 27: 0.0019005570161028155}","{7: 0.14339593336879336, 8: 0.14066301169882736, 10: 0.14339643753586673, 11: 0.13902432939723364, 13: 0.14327732874496066, 14: 0.14240112204578334, 16: 0.14323962140988444, 17: 0.1433588414618856, 18: 0.1433851900177293, 20: 0.17357761903811605, 21: 0.14234852174415083, 22: 0.143110908003696, 23: 0.1423604848556884, 24: 0.1433963915000345, 25: 0.14338487750249687, 26: 0.14549521365360943, 27: 0.4032728124606002}","{7: 0.0019204676868582447, 8: 0.00177172414886738, 10: 0.0019204015310172477, 11: 0.0016737700858739618, 13: 0.001912819506978795, 14: 0.0019472908679624857, 16: 0.0019107676136939232, 17: 0.0019301690996758433, 18: 0.001920223806501177, 20: 0.0027967565760619907, 21: 0.0019239741873964815, 22: 0.0018696319504737237, 23: 0.0011717506847128804, 24: 0.001920400821744291, 25: 0.001919846672231342, 26: 0.0020531800207046133, 27: 0.01886643249441919}","{'fa_me': 1.0, 'fb_me': 1.0, 'gx_me': 1.0, 'm_max': 1.0, 'm_me': 1.0, 'm_min': 1.0, 'ay_me': 1.0, 'fd_me': 1.0, 'gz_me': 1.0, 'ax_me': 1.0}",3
PerSeanceApproach,LinearDiscriminantAnalysis,1,8,-1,0.3597222222222222,0.0,0.643654013126645,6.813791249568404e-16,0.6469562684650029,8.927923646162438e-16,"{7: 0.975, 8: 0.6296296296296297, 10: 0.6326530612244898, 11: 0.9347826086956522, 13: 0.03225806451612903, 14: 0.11475409836065574, 16: 0.918918918918919, 17: 0.5333333333333333, 18: 0.021739130434782608, 20: 0.1818181818181818, 21: 0.0, 22: 0.3333333333333333, 23: 0.6470588235294118, 24: 0.35135135135135137, 25: 0.12, 26: 0.02631578947368421, 27: 0.046875}","{7: 0.0, 8: 0.0, 10: 0.0, 11: 0.0, 13: 0.0, 14: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 20: 2.7755575615628914e-17, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0}","{7: 0.8648468122336513, 8: 0.7285038592234225, 10: 0.500454845967668, 11: 0.8234911918459055, 13: 0.4132273329647051, 14: 0.726521846948165, 16: 0.8042907299250274, 17: 0.7450158998759094, 18: 0.5015823693614894, 20: 0.7307352064128952, 21: nan, 22: 0.3674253911391277, 23: 0.7637317175152604, 24: 0.4691531964844873, 25: 0.5464170513088713, 26: 0.9868705590796969, 27: 0.32619619974003955}","{7: 1.7323392989780456e-14, 8: 2.7581315685055293e-14, 10: 7.850462293418876e-16, 11: 9.485749680535094e-16, 13: 2.6953889017259007e-15, 14: 1.4130832128153975e-15, 16: 1.675174117607429e-15, 17: 3.76822190084106e-15, 18: 1.6433676069957804e-14, 20: 1.4672875952469843e-15, 21: nan, 22: 7.591035761743328e-16, 23: 1.5195596756924915e-15, 24: 1.1102230246251565e-16, 25: 1.8332692514427205e-15, 26: 1.2819751242557092e-16, 27: 3.794570574591739e-15}","{7: 0.8544857536339295, 8: 0.7975161780516977, 10: 0.4195149321900975, 11: 0.9230305379252653, 13: 0.5001770857026145, 14: 0.5920111181013598, 16: 0.5756608511798222, 17: 0.7909585944512422, 18: 0.7327542606562193, 20: 0.4542455227678425, 21: 0.8258886916048498, 22: 0.6122094552545946, 23: 0.6297748337174044, 24: 0.5924632978440055, 25: 0.5382727633286996, 26: 0.46052041233981544, 27: 0.6987722751555872}","{7: 1.3293500995642598e-14, 8: 1.999254489212475e-14, 10: 1.7271017045521525e-15, 11: 2.7194799110210365e-16, 13: 5.246709318398999e-16, 14: 3.1401849173675503e-16, 16: 8.269236426103588e-15, 17: 2.7748173141669918e-15, 18: 6.071136966527948e-15, 20: 9.42055475210265e-16, 21: 3.1401849173675503e-16, 22: 7.850462293418876e-16, 23: 1.2560739669470201e-15, 24: 7.364386412590295e-16, 25: 1.1519957148411756e-15, 26: 6.409875621278546e-17, 27: 2.220446049250313e-16}","{'fa_me': 1.0, 'fb_me': 1.0, 'gx_me': 1.0, 'm_max': 1.0, 'm_me': 1.0, 'm_min': 1.0, 'ay_me': 1.0, 'fd_me': 1.0, 'gz_me': 1.0, 'ax_me': 1.0}",3
PerSeanceApproach,AdaBoost,1,8,-1,0.5611111111111111,0.004536092116265129,0.8935907833826433,0.007304291477195654,0.8317719261318942,0.006149185974512304,"{7: 0.9583333333333334, 8: 1.0, 10: 1.0, 11: 0.9782608695652174, 13: 0.23655913978494625, 14: 0.6830601092896175, 16: 0.8018018018018017, 17: 0.9111111111111111, 18: 0.06521739130434782, 20: 0.010101010101010102, 21: 0.013605442176870748, 22: 0.030303030303030304, 23: 0.9411764705882352, 24: 0.41441441441441446, 25: 0.9266666666666666, 26: 0.5701754385964913, 27: 0.07291666666666667}","{7: 0.023570226039551553, 8: 0.0, 10: 0.0, 11: 0.0, 13: 0.04023287512660153, 14: 0.020446215228272925, 16: 0.033708625106071526, 17: 0.0, 18: 0.0, 20: 0.014284985478516112, 21: 0.009620500424306767, 22: 0.0, 23: 1.1102230246251565e-16, 24: 0.03370862510607154, 25: 0.00942809041582059, 26: 0.012405382126079768, 27: 0.01948779888944761}","{7: 0.92221420850522, 8: 0.993444622852835, 10: 0.9981114544450514, 11: 0.9954852061765379, 13: 0.7459315306426029, 14: 0.9470379675812953, 16: 0.9401436514180243, 17: 0.9997932424753163, 18: 0.9753192363263977, 20: 0.5455119265927239, 21: 0.5452905587410135, 22: 0.9583575892230356, 23: 0.9859011602181288, 24: 0.8941535029499269, 25: 0.9931641008943523, 26: 0.8324800955413894, 27: 0.5705506168472623}","{7: 0.006422719130663116, 8: 0.0033167306072995778, 10: 0.0002955902407779059, 11: 0.001159035966726889, 13: 0.016401727411897802, 14: 0.014521672477467447, 16: 0.017710265629566974, 17: 8.054427603480499e-05, 18: 0.022362784580988778, 20: 0.0, 21: 0.05576075120308835, 22: 0.021864722701248618, 23: 0.001341950903333938, 24: 0.02201592938042785, 25: 0.004371915564372522, 26: 0.008159648577442086, 27: 0.025725354407215004}","{7: 0.752476594320731, 8: nan, 10: nan, 11: 0.7766586012144888, 13: 0.7732626495584918, 14: 0.834586633264986, 16: 0.7641809167333665, 17: 0.9982623679690548, 18: 0.8578987825665313, 20: 0.9043890412583974, 21: 0.9484504563621262, 22: 0.9460442752280719, 23: 0.9364208669104861, 24: 0.7178763811525443, 25: 0.8252125541442735, 26: 0.7095551236306772, 27: 0.7313036476641884}","{7: 0.07821819832116673, 8: nan, 10: nan, 11: 0.07403284984489922, 13: 0.01760778783444632, 14: 0.014494022491111046, 16: 0.04797929471548581, 17: 0.001361098174474243, 18: 0.008345158938936125, 20: 0.008860409593407599, 21: 0.0027527430577391587, 22: 0.002180056245095257, 23: 0.010344212699426775, 24: 0.047537475546596764, 25: 0.06949114202405743, 26: 0.023931959906901095, 27: 0.009934213900465793}","{'fa_me': 1.0, 'fb_me': 1.0, 'gx_me': 1.0, 'm_max': 1.0, 'm_me': 1.0, 'm_min': 1.0, 'ay_me': 1.0, 'fd_me': 1.0, 'gz_me': 1.0, 'ax_me': 1.0}",3
PerSeanceApproach,GradientBoosting,1,8,-1,0.5513888888888889,0.004536092116265174,0.8445721192650044,0.015701950313282993,0.58325788252044,0.01861134027926041,"{7: 0.6833333333333332, 8: 1.0, 10: 1.0, 11: 0.9782608695652174, 13: 0.03225806451612903, 14: 0.16939890710382513, 16: 0.8198198198198199, 17: 0.9111111111111111, 18: 0.2101449275362319, 20: 0.06060606060606061, 21: 0.12244897959183672, 22: 0.10101010101010101, 23: 0.9411764705882352, 24: 0.1801801801801802, 25: 0.86, 26: 0.3771929824561404, 27: 0.765625}","{7: 0.01178511301977575, 8: 0.0, 10: 0.0, 11: 0.0, 13: 0.0, 14: 0.0077279429637874125, 16: 0.012740662724081912, 17: 0.018144368465060606, 18: 0.01024792436502242, 20: 0.0, 21: 1.3877787807814457e-17, 22: 0.037794519058322644, 23: 1.1102230246251565e-16, 24: 0.04593711273507013, 25: 0.0, 26: 0.02481076425215956, 27: 0.0}","{7: 0.7457896155614719, 8: 0.9705531696943054, 10: 0.9848916818101227, 11: 0.9435687777934474, 13: 0.6209121083364774, 14: 0.971038073448269, 16: 0.902994598462997, 17: 0.9549216701988207, 18: 0.665963535905139, 20: 0.9283553638139636, 21: 0.7721100099683503, 22: 0.31593931634785927, 23: 0.9839623417984541, 24: 0.7905145223068529, 25: 0.8680061962167219, 26: 0.9412806795336729, 27: 0.9969243663081512}","{7: 0.04909199063085611, 8: 0.0052119599893094785, 10: 0.00014609801046084288, 11: 0.008554300096427422, 13: 0.1698203815149973, 14: 0.03711762815451006, 16: 0.001985003696062655, 17: 0.005495592655611626, 18: 0.01314355142714986, 20: 0.03556684475658105, 21: 0.033745565889526485, 22: 0.042573561088224236, 23: 0.004404760612980401, 24: 0.14789567680389998, 25: 0.005584347642660221, 26: 0.004706070960560937, 27: 0.0008125204604551282}","{7: 0.7094601191200418, 8: nan, 10: nan, 11: 0.5508473880957204, 13: 0.5263171999208789, 14: 0.24973952050932802, 16: 0.7120224951153058, 17: 0.7277692255782043, 18: 0.5978078317530651, 20: 0.40745913891822005, 21: 0.7277040045618842, 22: 0.7341673003761563, 23: 0.5928195146952876, 24: 0.5745392186106385, 25: 0.6079523205751057, 26: 0.5327741079381899, 27: 0.4974888520385739}","{7: 0.00897993828296513, 8: nan, 10: nan, 11: 0.11253121183352406, 13: 0.01022655820286207, 14: 0.03939547021716238, 16: 0.046881884186549615, 17: 0.024413267807157822, 18: 0.008155638626397413, 20: 0.006391544608456685, 21: 0.007673476837155348, 22: 0.02359394394055905, 23: 0.000674003562519063, 24: 0.04428003215494081, 25: 0.05477025385875615, 26: 0.017562960130086958, 27: 0.027216376866819846}","{'fa_me': 1.0, 'fb_me': 1.0, 'gx_me': 1.0, 'm_max': 1.0, 'm_me': 1.0, 'm_min': 1.0, 'ay_me': 1.0, 'fd_me': 1.0, 'gz_me': 1.0, 'ax_me': 1.0}",3
PerSeanceApproach,RandomForest,1,8,-1,0.674074074074074,0.002618914004394611,0.5586655833109463,0.0037421613238455866,0.40156338316103385,0.0006225082803657634,"{7: 0.975, 8: 0.9629629629629629, 10: 1.0, 11: 0.9565217391304349, 13: 0.03225806451612903, 14: 0.7923497267759562, 16: 0.9729729729729731, 17: 0.9111111111111111, 18: 0.536231884057971, 20: 0.0, 21: 0.0, 22: 0.030303030303030304, 23: 0.9313725490196078, 24: 0.7747747747747749, 25: 0.94, 26: 0.42105263157894735, 27: 0.8125}","{7: 0.0, 8: 0.0, 10: 0.0, 11: 1.1102230246251565e-16, 13: 0.0, 14: 0.020446215228272925, 16: 1.1102230246251565e-16, 17: 0.0, 18: 0.01024792436502242, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.013864838846795053, 24: 0.012740662724081912, 25: 0.0, 26: 0.021486752129677, 27: 0.0}","{7: 0.5301211377357211, 8: 0.7804024037305289, 10: 0.6817073573865665, 11: 0.8435455180867112, 13: 0.2229552068302069, 14: 0.4655823105476125, 16: 0.6705859342400141, 17: 0.7150283599643356, 18: 0.4651255086580086, 20: nan, 21: nan, 22: 0.22903584147334155, 23: 0.6250557488558816, 24: 0.4555794796934729, 25: 0.7693866150348864, 26: 0.4475192774097951, 27: 0.4783530500171125}","{7: 0.0095121384396233, 8: 0.012919348807331074, 10: 0.00464649687150617, 11: 0.00322581263074281, 13: 0.0037297078449714653, 14: 0.005869104181856644, 16: 0.0017854767003478754, 17: 0.0029803620410702673, 18: 0.006636516218663582, 20: nan, 21: nan, 22: 0.006994753760284848, 23: 0.00905585534097399, 24: 0.006707003587158835, 25: 0.0043450092453236775, 26: 0.002831675615863475, 27: 0.015183285179843235}","{7: 0.289738921957672, 8: 0.4760046296296296, 10: nan, 11: 0.28209846230158725, 13: 0.31198388410770655, 14: 0.4341484176372569, 16: 0.22938377074314567, 17: 0.5222118487704425, 18: 0.415415537532353, 20: 0.49204536276363925, 21: 0.4891682483238606, 22: 0.5352344715846753, 23: 0.2541705447330447, 24: 0.4639572228986291, 25: 0.46710218253968244, 26: 0.4237308145974683, 27: 0.3386198104557479}","{7: 0.01821915280478895, 8: 0.004179750286351869, 10: nan, 11: 0.007692299439176384, 13: 0.002535737861010119, 14: 0.01412006454166884, 16: 0.008620228977796353, 17: 0.011900186182126533, 18: 0.004955886101505155, 20: 0.007554976493157839, 21: 0.005124991675181371, 22: 0.007282087677230952, 23: 0.013569132217928916, 24: 0.011114341225018205, 25: 0.008979460165130994, 26: 0.011702333613612502, 27: 0.005571278598017815}","{'fa_me': 1.0, 'fb_me': 1.0, 'gx_me': 1.0, 'm_max': 1.0, 'm_me': 1.0, 'm_min': 1.0, 'ay_me': 1.0, 'fd_me': 1.0, 'gz_me': 1.0, 'ax_me': 1.0}",3
PerSeanceApproach,MajorityClassifier,2,8,-1,0.1155143338954469,1.3877787807814457e-17,1.0,0.0,1.0,0.0,"{7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 1.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0}","{7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0}","{7: nan, 8: nan, 9: nan, 10: nan, 11: nan, 13: nan, 14: nan, 15: nan, 16: nan, 17: nan, 18: 1.0, 19: nan, 20: nan, 21: nan, 22: nan, 23: nan, 24: nan, 25: nan, 26: nan, 27: nan}","{7: nan, 8: nan, 9: nan, 10: nan, 11: nan, 13: nan, 14: nan, 15: nan, 16: nan, 17: nan, 18: 0.0, 19: nan, 20: nan, 21: nan, 22: nan, 23: nan, 24: nan, 25: nan, 26: nan, 27: nan}","{7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: nan, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0}","{7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: nan, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0}","{'fb_me': 1.0, 'm_me': 1.0, 'm_max': 1.0, 'fd_me': 1.0, 'm_min': 1.0, 'a_me': 1.0, 'gx_me': 1.0, 'ay_me': 1.0, 'gz_me': 1.0, 'ax_me': 1.0}",3
PerSeanceApproach,KNearestNeighbors,2,8,-1,0.2580101180438449,0.0,0.7848455607106904,0.0,0.7196250936385374,0.0,"{7: 0.8867924528301887, 8: 0.0, 9: 0.6666666666666666, 10: 0.0, 11: 0.21666666666666667, 13: 0.2702702702702703, 14: 0.14516129032258066, 15: 0.31932773109243695, 16: 0.08695652173913043, 17: 0.5945945945945946, 18: 0.29927007299270075, 19: 0.015873015873015872, 20: 0.0, 21: 0.0, 22: 0.45454545454545453, 23: 0.0, 24: 0.021739130434782608, 25: 0.5, 26: 0.6811594202898551, 27: 0.0}","{7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0}","{7: 0.9574468085106383, 8: nan, 9: 0.9259259259259259, 10: nan, 11: 0.5128205128205128, 13: 0.6333333333333333, 14: 0.8888888888888888, 15: 0.7807017543859649, 16: 0.7499999999999999, 17: 0.9545454545454545, 18: 0.6991869918699186, 19: 0.6666666666666666, 20: nan, 21: nan, 22: 0.7166666666666665, 23: nan, 24: 0.6666666666666666, 25: 0.9555555555555554, 26: 0.8794326241134748, 27: nan}","{7: 0.0, 8: nan, 9: 1.1102230246251565e-16, 10: nan, 11: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 1.1102230246251565e-16, 18: 0.0, 19: 0.0, 20: nan, 21: nan, 22: 1.1102230246251565e-16, 23: nan, 24: 0.0, 25: 1.1102230246251565e-16, 26: 1.1102230246251565e-16, 27: nan}","{7: 1.0, 8: 0.8444444444444444, 9: 0.8148148148148148, 10: 0.6818181818181818, 11: 0.6170212765957446, 13: 0.7489711934156378, 14: 0.6163522012578616, 15: 0.6584362139917694, 16: 0.5714285714285714, 17: 0.8000000000000002, 18: 0.7013888888888888, 19: 0.7688172043010751, 20: 0.7435897435897435, 21: 0.6742424242424243, 22: 0.7083333333333334, 23: 0.6097560975609756, 24: 0.6962962962962963, 25: 0.6222222222222221, 26: 0.8030303030303031, 27: 0.7115384615384616}","{7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 1.1102230246251565e-16, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0}","{'fb_me': 1.0, 'm_me': 1.0, 'm_max': 1.0, 'fd_me': 1.0, 'm_min': 1.0, 'a_me': 1.0, 'gx_me': 1.0, 'ay_me': 1.0, 'gz_me': 1.0, 'ax_me': 1.0}",3
PerSeanceApproach,SupportVectorMachine,2,8,-1,0.1897133220910624,0.0,0.5291895865649399,0.012234932965059335,0.18784261337710118,0.0009570809001028141,"{7: 0.5471698113207547, 8: 0.0, 9: 0.2962962962962963, 10: 0.0, 11: 0.06666666666666667, 13: 0.05405405405405406, 14: 0.0, 15: 0.21008403361344538, 16: 0.0, 17: 0.0, 18: 0.9416058394160584, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.13333333333333333, 26: 0.2898550724637681, 27: 0.0}","{7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0}","{7: 0.8445139504758883, 8: nan, 9: 0.8643708886684145, 10: nan, 11: 0.15358846738081525, 13: 0.23700891303138835, 14: nan, 15: 0.34491405215812376, 16: nan, 17: nan, 18: 0.14747919607838456, 19: nan, 20: nan, 21: nan, 22: nan, 23: nan, 24: nan, 25: 0.8118035509214953, 26: 0.8298376738050092, 27: nan}","{7: 0.00684169966279396, 8: nan, 9: 0.02011332226850455, 10: nan, 11: 0.0066926764333963525, 13: 0.006846939864285902, 14: nan, 15: 0.007195620570762399, 16: nan, 17: nan, 18: 0.00072185071055787, 19: nan, 20: nan, 21: nan, 22: nan, 23: nan, 24: nan, 25: 0.046915233533088366, 26: 0.03429601230612171, 27: nan}","{7: 0.1167862965074768, 8: 0.2227564606264425, 9: 0.1108841658534399, 10: 0.21290771114306786, 11: 0.18159180255462162, 13: 0.1631882344844516, 14: 0.12717609170196073, 15: 0.13974853338834653, 16: 0.17027947288227885, 17: 0.1706637512795135, 18: 0.6092351518782491, 19: 0.16146952051922692, 20: 0.1302056053172777, 21: 0.2221449620843415, 22: 0.13793542687418636, 23: 0.14295781165828184, 24: 0.21457955158423356, 25: 0.13800173146019076, 26: 0.18122467152292723, 27: 0.2031153142215092}","{7: 0.0003356276205188386, 8: 0.0022346548479950136, 9: 0.0009458324855007655, 10: 0.0021484269759570337, 11: 0.0016735689361930249, 13: 0.0021219272531583597, 14: 0.0007144777079912077, 15: 0.001483649595479945, 16: 0.0009313828374506345, 17: 0.0028283108232203986, 18: 0.009051637540702548, 19: 9.155405050211947e-05, 20: 0.0007941862361426473, 21: 0.0007106109689544155, 22: 0.001399525059702528, 23: 0.0015348317232365273, 24: 0.0011412555000066837, 25: 0.0011867120979319724, 26: 0.0032222322009712134, 27: 0.0009509261849628566}","{'fb_me': 1.0, 'm_me': 1.0, 'm_max': 1.0, 'fd_me': 1.0, 'm_min': 1.0, 'a_me': 1.0, 'gx_me': 1.0, 'ay_me': 1.0, 'gz_me': 1.0, 'ax_me': 1.0}",3
