approach,model,task,segment_interval,number_of_users,accuracy,confidence,user_accuracies,user_confidences,feature_frequency,epochs
PerSeanceApproach,LinearDiscriminantAnalysis,3,128,11,0.7705696877605681,0.7651719369799697,"{7: 1.0, 8: 0.9851495083283163, 9: 1.0, 10: 0.7201889020070839, 11: 0.9843563766388558, 13: 0.516743648960739, 15: 1.0, 16: 0.9990470745187726, 17: 0.6364672364672365, 18: 0.058472783227543755, 19: 0.9995535714285714, 21: 0.34527972027972026, 22: 0.24307992202729042, 23: 0.9414957780458384, 24: 0.9913419913419914, 25: 0.931095406360424, 26: 0.9906103286384976, 27: 0.4711970318297207}","{7: 0.9999844667888156, 8: 0.9818222269740944, 9: 1.0, 10: 0.7188414250129195, 11: 0.9838395192685722, 13: 0.5191379393991883, 15: 1.0, 16: 0.9987145728504094, 17: 0.6365729312991794, 18: 0.058508572935382044, 19: 0.9994752928797406, 21: 0.3464146024333877, 22: 0.24505841084572944, 23: 0.9381465394924173, 24: 0.9907963043809587, 25: 0.9307930395729205, 26: 0.9906087692829547, 27: 0.4705981238854243}","{'az_mcr': 0.5881720430107527, 'ax_mcr': 0.5254480286738351, 'ay_mcr': 0.8379928315412186, 'gy_me': 1.0, 'az_me': 1.0, 'ay_me': 1.0, 'gx_me': 1.0, 'gz_me': 0.9974910394265233, 'a_me': 1.0, 'ax_me': 1.0, 'fd_me': 0.36415770609319, 'a_mcr': 0.5734767025089605, 'fa_bin_min': 0.016129032258064516, 'fa_me': 0.04695340501792115, 'fd_sd': 0.01935483870967742, 'fa_bin_9': 0.00967741935483871, 'fa_bin_8': 0.01827956989247312, 'fa_bin_4': 0.002867383512544803}",2790
PerSeanceApproach,RandomForest,3,128,11,0.7322970621369679,0.4936286521125231,"{7: 0.9637295485905775, 8: 0.8011238209913706, 9: 0.7184551886792453, 10: 0.7465171192443919, 11: 0.808849821215733, 13: 0.414405311778291, 15: 0.8025759323337177, 16: 0.8705927196493234, 17: 0.6812915479582147, 18: 0.17580303904597036, 19: 0.8964285714285715, 21: 0.7494172494172494, 22: 0.630214424951267, 23: 0.6525934861278649, 24: 0.7066115702479339, 25: 0.662347860227719, 26: 0.9291862284820033, 27: 0.9960945127904706}","{7: 0.652749852158486, 8: 0.46672687136263297, 9: 0.41821933962264146, 10: 0.41710743801652894, 11: 0.5116805721096543, 13: 0.2933314087759815, 15: 0.5029411764705882, 16: 0.5771297884505432, 17: 0.48959164292497626, 18: 0.20182727447586077, 19: 0.6607440476190476, 21: 0.4552156177156177, 22: 0.4047953216374269, 23: 0.44811017289907523, 24: 0.4528138528138528, 25: 0.42265410286611704, 26: 0.6720657276995305, 27: 0.8442296426479202}","{'az_mcr': 0.5881720430107527, 'ax_mcr': 0.5254480286738351, 'ay_mcr': 0.8379928315412186, 'gy_me': 1.0, 'az_me': 1.0, 'ay_me': 1.0, 'gx_me': 1.0, 'gz_me': 0.9974910394265233, 'a_me': 1.0, 'ax_me': 1.0, 'fd_me': 0.36415770609319, 'a_mcr': 0.5734767025089605, 'fa_bin_min': 0.016129032258064516, 'fa_me': 0.04695340501792115, 'fd_sd': 0.01935483870967742, 'fa_bin_9': 0.00967741935483871, 'fa_bin_8': 0.01827956989247312, 'fa_bin_4': 0.002867383512544803}",2790
PerSeanceApproach,AdaBoost,3,128,11,0.3159123387634314,0.19309363363107845,"{7: 0.423023851764242, 8: 0.13766807144290588, 9: 0.007075471698113208, 10: 0.16611570247933882, 11: 0.5631704410011918, 13: 0.5012990762124712, 15: 0.007112648981161091, 16: 0.8307604345340195, 17: 0.20151946818613484, 18: 0.09367185997307173, 19: 0.32648809523809524, 21: 0.06847319347319347, 22: 0.09980506822612087, 23: 0.014475271411338963, 24: 0.05194805194805195, 25: 0.30565371024734983, 26: 0.8037949921752737, 27: 0.833626244874048}","{7: 0.19705847037183036, 8: 0.14523177169894808, 9: 0.14914123301880902, 10: 0.17580638330415962, 11: 0.15527535995745195, 13: 0.13185966276546573, 15: 0.08901635144859694, 16: 0.4024292575595438, 17: 0.16801960853783374, 18: 0.04510973088492752, 19: 0.24152785192869347, 21: 0.13418214211459695, 22: 0.052987897657299346, 23: 0.15296093932974245, 24: 0.1558890402290899, 25: 0.18016352381599454, 26: 0.36331630160146605, 27: 0.5338699291109974}","{'az_mcr': 0.5881720430107527, 'ax_mcr': 0.5254480286738351, 'ay_mcr': 0.8379928315412186, 'gy_me': 1.0, 'az_me': 1.0, 'ay_me': 1.0, 'gx_me': 1.0, 'gz_me': 0.9974910394265233, 'a_me': 1.0, 'ax_me': 1.0, 'fd_me': 0.36415770609319, 'a_mcr': 0.5734767025089605, 'fa_bin_min': 0.016129032258064516, 'fa_me': 0.04695340501792115, 'fd_sd': 0.01935483870967742, 'fa_bin_9': 0.00967741935483871, 'fa_bin_8': 0.01827956989247312, 'fa_bin_4': 0.002867383512544803}",2790
PerSeanceApproach,GradientBoosting,3,128,11,0.662025815939348,0.6142824842034653,"{7: 0.8992706485314409, 8: 0.6907485450531807, 9: 0.8567216981132075, 10: 0.6461629279811097, 11: 0.656585220500596, 13: 0.26096997690531176, 15: 0.49596309111880044, 16: 0.8319039451114922, 17: 0.7194681861348529, 18: 0.1659934602808232, 19: 0.9550595238095239, 21: 0.2634032634032634, 22: 0.9200779727095517, 23: 0.5800160836349015, 24: 0.44214876033057854, 25: 0.5335689045936396, 26: 0.9927621283255085, 27: 0.9960945127904706}","{7: 0.8856483360418324, 8: 0.6254322565806013, 9: 0.8272347037010478, 10: 0.5203656898067073, 11: 0.6054050972117381, 13: 0.2298511402478939, 15: 0.5236292078690467, 16: 0.8100815765806518, 17: 0.6959896488918655, 18: 0.17103159246755648, 19: 0.9172856685484145, 21: 0.2528525941612114, 22: 0.8498666993657328, 23: 0.5849441650143639, 24: 0.42776872035596814, 25: 0.5298218128531529, 26: 0.9743190571094101, 27: 0.6398163879483114}","{'az_mcr': 0.5881720430107527, 'ax_mcr': 0.5254480286738351, 'ay_mcr': 0.8379928315412186, 'gy_me': 1.0, 'az_me': 1.0, 'ay_me': 1.0, 'gx_me': 1.0, 'gz_me': 0.9974910394265233, 'a_me': 1.0, 'ax_me': 1.0, 'fd_me': 0.36415770609319, 'a_mcr': 0.5734767025089605, 'fa_bin_min': 0.016129032258064516, 'fa_me': 0.04695340501792115, 'fd_sd': 0.01935483870967742, 'fa_bin_9': 0.00967741935483871, 'fa_bin_8': 0.01827956989247312, 'fa_bin_4': 0.002867383512544803}",2790
PerSeanceApproach,LinearDiscriminantAnalysis,1,1,15,0.27366465091708614,0.1929308420282418,"{7: 0.9992341496325741, 8: 0.07735300693047172, 10: 0.8549781478291384, 11: 0.8160177595628415, 13: 9.77636563607479e-05, 14: 0.0352046285175571, 16: 0.9873067010309278, 17: 0.19793794057579553, 18: 0.00394517566234738, 20: 0.0062584134331530586, 21: 0.006411060254561412, 22: 0.025101590618831996, 23: 0.5160128379782494, 24: 0.01352851679756569, 25: 0.06348932160804019, 26: 0.0909055402581678, 27: 0.02669589574960419}","{7: 0.8665670837718332, 8: 0.19081368245902725, 10: 0.26514516780050607, 11: 0.26398004244251094, 13: 0.053194449836756086, 14: 0.144014306444337, 16: 0.5145498188789812, 17: 0.18492961367020536, 18: 0.008130847439255552, 20: 0.10072545413565746, 21: 0.021495691528912245, 22: 0.1094995330136924, 23: 0.2094888789258182, 24: 0.1060819552206016, 25: 0.12005392913850303, 26: 0.07179376205085698, 27: 0.021059058620708}","{'ay_me': 0.7526881720430108, 'fa_me': 1.0, 'fc_me': 1.0, 'gz_me': 1.0, 'fb_me': 1.0, 'm_min': 1.0, 'm_max': 1.0, 'm_me': 1.0, 'fd_me': 1.0, 'ax_me': 1.0, 'nr_me': 0.24731182795698925}",186
PerSeanceApproach,RandomForest,1,1,15,0.5237792891975604,0.4091948806632676,"{7: 0.5413832716398315, 8: 0.934803264028616, 10: 0.5934539190353144, 11: 0.9716017759562842, 13: 0.041427349382866914, 14: 0.5567522890757172, 16: 0.9605240549828178, 17: 0.866987285064892, 18: 0.07628473285038942, 20: 0.18541435420258368, 21: 0.05909461408238761, 22: 0.26179031696273075, 23: 0.7550624581495763, 24: 0.40604054443028087, 25: 0.8802763819095478, 26: 0.5824399007948132, 27: 0.29543295579101203}","{7: 0.3609726299666308, 8: 0.7606360384529399, 10: 0.41011420550610905, 11: 0.8243306010928964, 13: 0.06153000122204571, 14: 0.3584789430862811, 16: 0.7867396907216494, 17: 0.6690938138217274, 18: 0.12449920076182701, 20: 0.14278865455919512, 21: 0.05816822371308546, 22: 0.2420968303726925, 23: 0.5642152901244545, 24: 0.29737653686418025, 25: 0.6345241834170855, 26: 0.40683500302693, 27: 0.2591645353793691}","{'ay_me': 0.7526881720430108, 'fa_me': 1.0, 'fc_me': 1.0, 'gz_me': 1.0, 'fb_me': 1.0, 'm_min': 1.0, 'm_max': 1.0, 'm_me': 1.0, 'fd_me': 1.0, 'ax_me': 1.0, 'nr_me': 0.24731182795698925}",186
PerSeanceApproach,AdaBoost,1,1,15,0.26617884063805786,0.11529553593616569,"{7: 0.2891085137032512, 8: 0.21428571428571427, 10: 0.07758318180368136, 11: 0.5983094262295082, 13: 0.05142368324575339, 14: 0.30034997998269475, 16: 0.6525773195876289, 17: 0.36425324461426967, 18: 0.04242764343774445, 20: 0.2083933589967645, 21: 0.23064141952473513, 22: 0.2066179031696273, 23: 0.15978203144842876, 24: 0.22377564866976438, 25: 0.49390703517587947, 26: 0.26228835901341613, 27: 0.12122762148337594}","{7: 0.07271807474279901, 8: 0.12514364544512718, 10: 0.10393226404289907, 11: 0.11792991085498097, 13: 0.07322666756856082, 14: 0.07450069142179658, 16: 0.11683064737536478, 17: 0.1863572786260743, 18: 0.06194897115927572, 20: 0.10702088498878919, 21: 0.07985976042876393, 22: 0.1215896221593666, 23: 0.12079312478541636, 24: 0.10238068912855529, 25: 0.22295328675016163, 26: 0.20773881208611902, 27: 0.06145899177098686}","{'ay_me': 0.7526881720430108, 'fa_me': 1.0, 'fc_me': 1.0, 'gz_me': 1.0, 'fb_me': 1.0, 'm_min': 1.0, 'm_max': 1.0, 'm_me': 1.0, 'fd_me': 1.0, 'ax_me': 1.0, 'nr_me': 0.24731182795698925}",186
PerSeanceApproach,GradientBoosting,1,1,15,0.5872178035847709,0.5271532246251546,"{7: 0.8857241844605312, 8: 0.7936507936507937, 10: 0.6184642868536064, 11: 0.9818647540983605, 13: 0.02329219112794818, 14: 0.634819779680498, 16: 0.8745060137457046, 17: 0.914421239870874, 18: 0.14551236268407985, 20: 0.12311361972462981, 21: 0.0794720672142454, 22: 0.20993846511087888, 23: 0.856773418919855, 24: 0.4972449525062708, 25: 0.8823649497487438, 26: 0.41761868494541765, 27: 0.7617707952746317}","{7: 0.864208703646973, 8: 0.7076673944642388, 10: 0.5715996880193801, 11: 0.9514997745111125, 13: 0.031276575502978486, 14: 0.501594814608381, 16: 0.8327153069501481, 17: 0.876623289171128, 18: 0.138076702588946, 20: 0.12256092263361923, 21: 0.08367574585068996, 22: 0.21102196880862692, 23: 0.7772152355183194, 24: 0.4375636347249734, 25: 0.7886140050072232, 26: 0.3581401153589941, 27: 0.7044622281066983}","{'ay_me': 0.7526881720430108, 'fa_me': 1.0, 'fc_me': 1.0, 'gz_me': 1.0, 'fb_me': 1.0, 'm_min': 1.0, 'm_max': 1.0, 'm_me': 1.0, 'fd_me': 1.0, 'ax_me': 1.0, 'nr_me': 0.24731182795698925}",186
PerSeanceApproach,LinearDiscriminantAnalysis,2,1,15,0.41017557211528705,0.3628092628652388,"{7: 0.9981835964789716, 8: 0.0009034589571502323, 9: 0.2852297925996781, 10: 0.03997658079625292, 11: 0.7576893939393938, 13: 0.0001040484298146046, 14: 0.37457099671023386, 15: 0.8430903058021699, 16: 0.7625504203722602, 17: 0.5129973474801062, 18: 0.16364661919199042, 19: 0.8024873378200235, 20: 0.07564222611244555, 21: 0.008674388674388677, 22: 0.6928260007927073, 23: 0.1104158201273195, 24: 0.3508809120030149, 25: 0.41132925651754104, 26: 0.59236758923753, 27: 0.5093199719576065}","{7: 0.9980456324823912, 8: 0.0010491669089452624, 9: 0.31306396339579134, 10: 0.0608625531233258, 11: 0.6599164159386885, 13: 0.0001245732553666338, 14: 0.352415255575744, 15: 0.7534348404050094, 16: 0.6238280328503176, 17: 0.49757423000691287, 18: 0.21664633288083057, 19: 0.6573219686291554, 20: 0.12774770368655858, 21: 0.04000774730948733, 22: 0.4353778190028521, 23: 0.15101335789639622, 24: 0.2397232198971432, 25: 0.31288449946049907, 26: 0.4904123659339513, 27: 0.38143332908718885}","{'fb_me': 0.9166666666666666, 'fa_me': 0.4423076923076923, 'fc_me': 0.8910256410256411, 'm_min': 1.0, 'm_max': 1.0, 'm_me': 1.0, 'gz_me': 0.8974358974358975, 'ay_me': 0.9487179487179487, 'fd_me': 0.9935897435897436, 'ax_me': 1.0, 'nr_me': 0.9102564102564102}",156
PerSeanceApproach,RandomForest,2,1,15,0.48231377033300776,0.429508431122529,"{7: 0.9796403121818797, 8: 0.04771553949406298, 9: 0.2287925561980956, 10: 0.06353629976580796, 11: 0.8711742424242425, 13: 0.019296254256526677, 14: 0.7861118520494353, 15: 0.8644157474665948, 16: 0.8139670505904651, 17: 0.7114058355437665, 18: 0.07877192570134824, 19: 0.788177339901478, 20: 0.4069535480193788, 21: 0.11078507078507077, 22: 0.3498315497423702, 23: 0.29806311797372337, 24: 0.2135151686451856, 25: 0.9036941672924935, 26: 0.783177858299283, 27: 0.9253577467112044}","{7: 0.85034232220204, 8: 0.07195792462570987, 9: 0.20509587373364066, 10: 0.07811007025761124, 11: 0.6921628787878786, 13: 0.044122209610291334, 14: 0.5806046056726238, 15: 0.7319585687382298, 16: 0.6515697137580795, 17: 0.6493427645151785, 18: 0.15142463199291797, 19: 0.6948431971137168, 20: 0.2671579204494565, 21: 0.11757786357786357, 22: 0.2587420729290527, 23: 0.2758228362454287, 24: 0.1917208403994724, 25: 0.695490469549047, 26: 0.6813229511988284, 27: 0.7430120829724937}","{'fb_me': 0.9166666666666666, 'fa_me': 0.4423076923076923, 'fc_me': 0.8910256410256411, 'm_min': 1.0, 'm_max': 1.0, 'm_me': 1.0, 'gz_me': 0.8974358974358975, 'ay_me': 0.9487179487179487, 'fd_me': 0.9935897435897436, 'ax_me': 1.0, 'nr_me': 0.9102564102564102}",156
