model,accuracy,std
MajorityClassifier,0.08669980843866044,0.02446965828500577
KNearestNeighbors,0.24696797652563232,0.02923316044338358
SupportVectorMachine,0.11282169339275451,0.05646929689368148
LinearDiscriminantAnalysis,0.47322565617467105,0.10162631043300917
AdaBoost,0.5787296154779665,0.0463321516156057
GradientBoosting,0.4584217318157058,0.07293583264828758
RandomForest,0.5921587400223527,0.0782361172596388
