user,seance,ax_me,ax_sd,ax_mcr,ax_mai,ay_me,ay_sd,ay_mcr,ay_mai,az_me,az_sd,az_mcr,az_mai,a_me,a_sd,a_mcr,a_mai,gx_me,gx_sd,gx_mcr,gy_me,gy_sd,gy_mcr,gz_me,gz_sd,gz_mcr,g_me,g_sd,g_mcr,fa_me,fa_sd,fa_mcr,fb_me,fb_sd,fb_mcr,fc_me,fc_sd,fc_mcr,fd_me,fd_sd,fd_mcr,ca_me,ca_sd,ca_min,ca_max,ca_mcr,cb_me,cb_sd,cb_min,cb_max,cb_mcr,cc_me,cc_sd,cc_min,cc_max,cc_mcr,cd_me,cd_sd,cd_min,cd_max,cd_mcr,c_me,c_sd,c_min,c_max,c_mcr,m_me,m_sd,m_min,m_max,m_jc,m_jr,m_jv,m_iji,ns_me,ns_sd,ns_sum,ns_jc,ns_jr,ns_jv,ns_iji,nr_me,nr_sd,nr_sum,nr_jc,nr_jr,nr_jv,nr_iji,ir_me,ir_sd
7,132,0.02129099427381572,0.004144597168004036,0.2604166666666667,0.0031875,-0.02675689744924519,0.0048665411595157125,0.4239583333333333,0.004406249999999999,0.8772514315460699,0.0055460571492533485,0.44583333333333336,0.005494791666666671,0.8779408402310761,0.005550933318190751,0.44583333333333336,0.005581852420666505,-0.5323385416666667,0.09642840594385695,0.5184992183428869,1.7962968750000001,0.11196858465019421,0.5065138092756644,-1.7168333333333337,0.09738173026234895,0.5351745700885878,2.5451341461194557,0.10580293753069374,0.5273579989577906,701.0375288683603,1.2675011840136825,0.30560369728480646,552.9471264367816,0.5576714891052498,0.33467510063254746,614.8547646383468,0.47693978413767946,0.33543940264215966,nan,nan,0,33.1125,8.048204380481401,21.6,44.6,0.5714285714285714,17.974999999999998,10.291713900026565,4.1,40.3,0.7142857142857143,31.9625,9.5928277243991,16.7,45.9,0.42857142857142855,18.724999999999998,7.837051422569587,2.8,29.7,0.8571428571428571,55.72852619311847,3.1986510192436834,51.96094687358959,61.881014859163386,0.42857142857142855,37.82,0.04330127018922255,37.8,37.9,0,0.0,nan,nan,10301.375,18.36394225105274,56.0,0,0.0,nan,nan,13197.25,19.350387593017356,59.0,0,0.0,nan,nan,2.0,0.0
7,132,0.021161785885741722,0.004051307888869974,0.2526416906820365,0.0031219980787704125,-0.026836293807009123,0.004842759228068417,0.4447646493756004,0.004630163304514888,0.8772011521843496,0.005729655915130386,0.4553314121037464,0.005763688760806921,0.8778893647175484,0.005729478684564486,0.4553314121037464,0.0058491044136960045,-0.531612284069098,0.09629205895013339,0.5084013442150744,1.7985796545105566,0.1157359738029897,0.5381661065770523,-1.7227831094049904,0.09749269859331633,0.5117618819011042,2.550737052036246,0.1067442276707972,0.5189630340854536,701.1802383316782,0.5242735010214462,0.38450074515648286,552.9101678183613,0.5618904695524022,0.36049382716049383,614.9683168316832,0.4802908963974218,0.24715205547300645,nan,nan,0,34.300000000000004,9.37146970567821,20.8,50.0,0.5,21.422222222222224,10.181003855522933,1.3,33.3,0.375,32.175000000000004,8.172782573885103,23.6,44.7,1.0,10.962499999999999,6.734043640339732,2.8,22.4,0.42857142857142855,56.61236302382905,3.5512818612711547,50.27365115047842,61.964909424609026,0.5714285714285714,37.8,0.0,37.8,37.8,0,0.0,nan,nan,10371.111111111111,20.861684412894608,65.0,0,0.0,nan,nan,13270.222222222223,21.632166264245257,66.0,1,0.12,17.0,nan,2.0,0.0
7,132,0.02139714867617108,0.004209763650874634,0.26813365933170336,0.0032436837815810913,-0.02654849225753871,0.0049226175535362696,0.44231553200163065,0.004578067672238074,0.8773838630806846,0.005363874489842706,0.41744802282918875,0.005071341214838977,0.8780701350002774,0.005357036615074515,0.41744802282918875,0.005155381447001292,-0.5308964955175225,0.09406908390542455,0.5364859355890746,1.797074164629177,0.11490117028640574,0.5291479820627802,-1.7217400162999188,0.09689530501854599,0.5364859355890746,2.5487122116441054,0.10593091942263044,0.5275173257236038,701.202620967742,0.5200352669917614,0.3842662632375189,553.0383064516129,0.5485908954799906,0.31316187594553707,615.0922379032259,0.49193109422618453,0.2980332829046899,nan,nan,0,27.7125,12.522723096435534,6.8,47.9,0.42857142857142855,20.775,6.070780427589191,6.7,28.8,0.42857142857142855,31.12222222222222,5.831481187443392,22.7,39.7,0.375,22.51111111111111,7.754059072432027,5.6,31.5,0.625,54.623395529579284,8.392684958887608,38.450747717047065,67.38115463540232,0.7142857142857143,37.8,0.0,37.8,37.8,0,0.0,nan,nan,10442.555555555555,19.41426228953636,60.0,0,0.0,nan,nan,13342.555555555555,19.71525698601698,61.0,0,0.0,nan,nan,1.0,1.0
7,132,0.021221779548472774,0.00402668656748945,0.24889282550930025,0.0030203720106288744,-0.02682300884955752,0.004805472707026311,0.4351482957060646,0.004493138556883576,0.8770044247787611,0.005478031578847925,0.4546259406817176,0.005422753430721563,0.8776967212686985,0.005473729208643397,0.45482728077945084,0.0055047801576142965,-0.5308053097345132,0.09445075117004353,0.5157149181053563,1.7915486725663716,0.11371284211925972,0.5086321381142098,-1.7234572819831784,0.09984737939068293,0.5243578387953941,2.5459372282222623,0.10702173651008028,0.5177147918511957,701.3470077220077,0.5581536059337237,0.42588121680347657,553.0558497833414,0.5522839282263968,0.33622350674373797,615.1164581328201,0.4972577020626365,0.31584015406836785,nan,nan,0,31.399999999999995,4.850658603621665,21.6,38.4,0.25,22.61111111111111,8.688618921637206,8.3,33.3,0.375,33.833333333333336,10.545562521216633,21.1,58.1,0.5,13.166666666666666,7.963388446858256,4.1,28.4,0.75,55.477237684439174,3.346555279324673,52.182851589387106,63.97921537499503,0.375,37.8,0.0,37.8,37.8,0,0.0,nan,nan,10509.888888888889,19.974675324545018,61.0,0,0.0,nan,nan,13411.777777777777,19.84259043224267,61.0,0,0.0,nan,nan,0.0,0.0
7,132,0.021210801393728225,0.004123209786034373,0.25882352941176473,0.003206971677559912,-0.026505446623093683,0.004956177541663833,0.45727986050566694,0.004755884917175239,0.8773376906318083,0.005468598804111181,0.4245858761987794,0.0052136006974716695,0.8780179099384311,0.005468939977096471,0.4245858761987794,0.005302552648254489,-0.5335729847494555,0.09589777946739719,0.5274629468177855,1.7984183006535948,0.1151828298133991,0.5318221447253705,-1.7200522648083623,0.10049354194286596,0.5350762527233115,2.5492408752842053,0.10777074169257235,0.527027027027027,701.6743295019157,0.5116197989049609,0.45615716339242934,553.0951923076923,0.542940676687948,0.3578643578643579,615.1325648414986,0.5127631836345753,0.33781835655934644,nan,nan,0,30.27777777777778,10.229997043312029,9.7,48.6,0.5,28.11111111111111,9.521372968741248,13.7,44.4,0.375,28.666666666666668,9.054894318053144,15.3,41.9,0.625,20.811111111111114,15.20617158659561,5.6,55.4,0.375,58.21790319305549,9.003466802886921,51.59156907867796,83.27316494525712,0.25,37.77,0.04582575694955579,37.7,37.8,0,0.0,nan,nan,10582.1,23.88493248891443,74.0,0,0.0,nan,nan,13483.9,23.257041944323014,73.0,0,0.0,nan,nan,0.0,0.0
7,132,0.02115322580645161,0.0040710313245890944,0.24768051633723276,0.003106091165792658,-0.026799677549375255,0.004826261615974427,0.4443548387096774,0.004596774193548386,0.8772511084240225,0.005587332344641553,0.4254032258064516,0.005342741935483875,0.8779367752507259,0.005594001779098529,0.4255748285599032,0.005438778394635845,-0.5358927851672713,0.09440504524577865,0.5189516129032258,1.79434905280129,0.11262679042712793,0.5145161290322581,-1.7242644095122932,0.10019867918944805,0.5366935483870968,2.549505377601947,0.10778017338006537,0.5056451612903226,701.7674650698602,0.46194434310335997,0.3849226160758862,553.1334987593052,0.5533963861213388,0.40218470705064546,615.281592039801,0.50795605711177,0.4355400696864111,nan,nan,0,24.066666666666666,6.434283176858165,14.3,34.2,0.5,21.06666666666667,10.869938157853316,4.2,40.0,0.375,35.166666666666664,9.704409078122973,19.2,55.6,0.75,22.344444444444445,8.08662972114549,13.3,34.7,0.375,55.38541318811503,3.2493427341533847,51.57024335796759,62.05239721396749,0.625,37.7,0.0,37.7,37.7,0,0.0,nan,nan,10661.111111111111,20.861684412894608,64.0,0,0.0,nan,nan,13558.888888888889,19.28986172661947,60.0,0,0.0,nan,nan,2.0,0.0
7,132,0.021260954235637782,0.004153465987895969,0.26400389673648317,0.0032440331222601065,-0.02647517039922104,0.004898196004104495,0.44520214320506574,0.004568923526546517,0.8773807205452777,0.005698881684210469,0.4213346322454944,0.005470043838285441,0.878060976413926,0.005703872588756376,0.4213346322454944,0.005563718242453376,-0.5362542620555284,0.09674763490051909,0.5146198830409356,1.7975694106186069,0.11106746666982824,0.5209551656920078,-1.7205796395518753,0.09905006736285005,0.5180311890838206,2.5494135267188267,0.1059074513141667,0.5053606237816765,701.7506589351608,0.5505839504756521,0.38554852320675104,553.2004230565839,0.5378530589649313,0.41798941798941797,615.335970464135,0.5119803191812147,0.48126649076517153,nan,nan,0,32.45,10.134964232793326,13.9,48.0,0.5714285714285714,15.6125,4.600934008437852,10.8,24.7,0.5714285714285714,34.6875,11.381392434583741,14.9,55.6,0.5714285714285714,18.2125,13.28875817185338,4.1,47.3,0.7142857142857143,57.00830772775193,3.425872154348421,52.56852670562491,61.624264701495626,0.7142857142857143,37.7,0.0,37.7,37.7,0,0.0,nan,nan,10730.875,20.97878392567119,63.0,0,0.0,nan,nan,13626.375,22.22575926712066,66.0,0,0.0,nan,nan,1.0,1.0
7,132,0.021306179775280897,0.004062696749886524,0.248711943793911,0.0029929742388758777,-0.026882022471910114,0.00483018121722729,0.4323185011709602,0.004510538641686181,0.8775514981273408,0.00550341803928841,0.4309133489461358,0.005447306791569091,0.8782443212160623,0.005501300906416013,0.4309133489461358,0.005528354591134359,-0.5327234440804867,0.09696650608106054,0.5037453183520599,1.790004679457183,0.11441393042192496,0.5112359550561798,-1.7237529246607395,0.09914586453307421,0.5252808988764045,2.545606302272497,0.10698912416109504,0.5079588014981273,701.7794943820224,0.47460897266563606,0.38688524590163936,553.2194780987885,0.5610974034146472,0.427972027972028,615.4551401869159,0.5182165038221089,0.48807854137447404,nan,nan,0,33.38,6.151227519771968,21.6,41.7,0.5555555555555556,16.080000000000002,9.9351698525994,5.5,31.1,0.4444444444444444,29.28,7.352115341859103,22.2,46.6,0.5555555555555556,22.809999999999995,12.495075029786735,4.2,43.8,0.8888888888888888,55.6051291273187,2.280485635607725,52.72627428521761,59.38206800036523,0.5555555555555556,37.7,0.0,37.7,37.7,0,0.0,nan,nan,10807.6,22.747307532980688,70.0,0,0.0,nan,nan,13704.4,22.04631488480558,68.0,0,0.0,nan,nan,2.0,0.0
7,132,0.0213103802672148,0.003988584064034455,0.2616966580976864,0.0030591259640102824,-0.026752312435765677,0.004780625004508327,0.44627249357326476,0.0045552699228791765,0.8774409044193217,0.005628792155938011,0.4365038560411311,0.005547557840616972,0.8781293492012862,0.005625995620458995,0.4365038560411311,0.005629587295593371,-0.5346402877697841,0.09596429567242629,0.5203084832904884,1.7898972250770813,0.11281682450583502,0.49717223650385606,-1.7197379239465571,0.09943149382174757,0.5341902313624679,2.543181007625907,0.1054732527951534,0.519280205655527,701.8207941483804,0.451129079813443,0.3366440146366963,553.2885520125458,0.5640934370161192,0.4592050209205021,615.4030398322851,0.5062825261817289,0.48295752490823285,nan,nan,0,31.5625,9.143705143430642,13.5,43.8,0.42857142857142855,18.1375,12.195587060490366,4.2,45.2,0.42857142857142855,33.6625,13.531069571545332,11.0,55.4,0.42857142857142855,17.3875,9.407634864831863,1.4,30.6,0.7142857142857143,57.01170905952196,3.774590058856858,52.19281559755135,63.90962368845556,0.7142857142857143,37.68,0.0415739709641555,37.6,37.7,0,0.0,nan,nan,10880.111111111111,19.553030139963496,60.0,0,0.0,nan,nan,13776.888888888889,20.14637791787587,62.0,0,0.0,nan,nan,1.0,1.0
7,132,0.02123669538773441,0.004026172815309467,0.2565922920892495,0.003083164300202839,-0.02683062880324544,0.00479241657231277,0.44190766108574325,0.0045509893455098925,0.8772819472616633,0.005544913304188917,0.44190766108574325,0.005469304921359721,0.8779713684356499,0.005543332922482429,0.44190766108574325,0.0055456078299187936,-0.5309634888438134,0.0942789691389604,0.5048198883815322,1.7925760649087221,0.11043550518932645,0.49974632166412986,-1.7238640973630832,0.0998811554906973,0.5078640284119736,2.5469840951093663,0.10436182470940426,0.528158295281583,701.8719772403983,0.44913586220180707,0.3002846299810247,553.3377672209026,0.5720519825632191,0.47576045627376423,615.4226020892687,0.5192789125850038,0.4954869358669834,nan,nan,0,24.177777777777774,8.41305569771409,15.1,43.7,0.375,24.77777777777778,10.143610772608186,12.3,40.5,0.5,31.444444444444443,7.576441719950235,19.7,45.2,0.25,21.666666666666668,8.562190789226266,5.8,35.2,0.5,54.38414180019588,1.8578986309413235,52.338704607584624,58.29348162530696,0.5,37.6,7.105427357601002e-15,37.6,37.6,0,0.0,nan,nan,10949.666666666666,19.782146833277054,63.0,0,0.0,nan,nan,13848.333333333334,20.346989949375804,65.0,0,0.0,nan,nan,0.0,0.0
