threshold,lookback,frr
0.25,5,7.710086771935052e-05
0.256,5,7.710086771935052e-05
0.262,5,9.8183681009956e-05
0.269,5,0.00017866248888842102
0.275,5,0.00029150604571733223
0.281,5,0.0004900654504962117
0.287,5,0.0007066994611206684
0.294,5,0.0009361251301177552
0.3,5,0.0013328685114681418
0.306,5,0.0016289265601367583
0.312,5,0.0024873408321678544
0.319,5,0.003362074448725028
0.325,5,0.00453616470787398
0.331,5,0.005712152165352734
0.337,5,0.006988168311167308
0.344,5,0.008203307941846009
0.35,5,0.009698199438972297
0.356,5,0.011410325580892902
0.362,5,0.013037286793135004
0.369,5,0.0149476400489151
0.375,5,0.01680471066384943
0.381,5,0.019022547024375856
0.387,5,0.0213182288527982
0.394,5,0.023734814217065494
0.4,5,0.026574802348619406
0.406,5,0.030092938341097625
0.412,5,0.034055770380376674
0.419,5,0.03746443859394179
0.425,5,0.041151746046714635
0.431,5,0.04501357173154816
0.437,5,0.04853285703297153
0.444,5,0.05299953206199891
0.45,5,0.05805310239360308
0.456,5,0.06374444675841506
0.462,5,0.06946440518460069
0.469,5,0.07587661440776867
0.475,5,0.08248099341949663
0.481,5,0.08904375464100676
0.487,5,0.09647435979606833
0.494,5,0.10435510738952392
0.25,10,3.7241173841799495e-05
0.256,10,3.7241173841799495e-05
0.262,10,3.7241173841799495e-05
0.269,10,3.7241173841799495e-05
0.275,10,7.560238298711175e-05
0.281,10,0.00015120476597422347
0.287,10,0.00015120476597422347
0.294,10,0.000227927184264848
0.3,10,0.0002651683581066475
0.306,10,0.0002651683581066475
0.312,10,0.0005688110383852558
0.319,10,0.0005688110383852558
0.325,10,0.0008313012030821298
0.331,10,0.0010860929490927463
0.337,10,0.001185970784742126
0.344,10,0.001534048641983511
0.35,10,0.0016020964066694957
0.356,10,0.0022271291055108514
0.362,10,0.0029239740904984765
0.369,10,0.0036578138780160615
0.375,10,0.004406097058141955
0.381,10,0.0054271070475709815
0.387,10,0.006741326071001758
0.394,10,0.008373527534276322
0.4,10,0.009764249255905294
0.406,10,0.011498443787380262
0.412,10,0.013628771211599963
0.419,10,0.015542579398752795
0.425,10,0.01810173893123053
0.431,10,0.021414192190806834
0.437,10,0.02445212549518
0.444,10,0.02829576708698793
0.45,10,0.0322225780271383
0.456,10,0.03706376326752606
0.462,10,0.041755160505636525
0.469,10,0.04670846601093884
0.475,10,0.0515130216947191
0.481,10,0.058106591328116235
0.487,10,0.06401346052367876
0.494,10,0.07150592538558023
0.25,20,3.7241173841799495e-05
0.256,20,3.7241173841799495e-05
0.262,20,3.7241173841799495e-05
0.269,20,3.7241173841799495e-05
0.275,20,7.560238298711175e-05
0.281,20,0.00015120476597422347
0.287,20,0.00015120476597422347
0.294,20,0.000227927184264848
0.3,20,0.000227927184264848
0.306,20,0.000227927184264848
0.312,20,0.0004407451319274423
0.319,20,0.0004407451319274423
0.325,20,0.000596826322793019
0.331,20,0.0007594898415837635
0.337,20,0.0007594898415837635
0.344,20,0.0008632802953793091
0.35,20,0.0008632802953793091
0.356,20,0.0009633071523624735
0.362,20,0.0011385233110031184
0.369,20,0.0012603286972702197
0.375,20,0.0014652314114515376
0.381,20,0.0018705210301029692
0.387,20,0.0023176385503880926
0.394,20,0.0028523649620290324
0.4,20,0.0034325596491238224
0.406,20,0.004417046233914134
0.412,20,0.005653319650740243
0.419,20,0.006650452460304217
0.425,20,0.008201620339065999
0.431,20,0.010022591180676619
0.437,20,0.012068831462847885
0.444,20,0.014486102670635556
0.45,20,0.016947008946900006
0.456,20,0.020231966793828472
0.462,20,0.02389102730732633
0.469,20,0.028427258289745867
0.475,20,0.03286175742236908
0.481,20,0.037771388324104455
0.487,20,0.04202976991537887
0.494,20,0.04799915127720399
0.25,40,3.7241173841799495e-05
0.256,40,3.7241173841799495e-05
0.262,40,3.7241173841799495e-05
0.269,40,3.7241173841799495e-05
0.275,40,7.560238298711175e-05
0.281,40,0.00015120476597422347
0.287,40,0.00015120476597422347
0.294,40,0.000227927184264848
0.3,40,0.000227927184264848
0.306,40,0.000227927184264848
0.312,40,0.0004407451319274423
0.319,40,0.0004407451319274423
0.325,40,0.000596826322793019
0.331,40,0.0007594898415837635
0.337,40,0.0007594898415837635
0.344,40,0.0008632802953793091
0.35,40,0.0008632802953793091
0.356,40,0.0009633071523624735
0.362,40,0.0011103352401946847
0.369,40,0.0011475764140364841
0.375,40,0.001228055221914949
0.381,40,0.0013446373340831245
0.387,40,0.0013818785079249244
0.394,40,0.0015842216562431944
0.4,40,0.0016647004641216592
0.406,40,0.0017403028471087711
0.412,40,0.002146082544298592
0.419,40,0.002338554215287429
0.425,40,0.002482204362960526
0.431,40,0.0028401918089567837
0.437,40,0.003051880285399908
0.444,40,0.0033860602194000283
0.45,40,0.004125568052327778
0.456,40,0.004954938972757975
0.462,40,0.0069869594272514495
0.469,40,0.008936320586120322
0.475,40,0.011276494911333422
0.481,40,0.014622386933470236
0.487,40,0.018507811530408078
0.494,40,0.024486807918013487
