user,seance,ax_me,ax_sd,ax_mcr,ax_mai,ay_me,ay_sd,ay_mcr,ay_mai,az_me,az_sd,az_mcr,az_mai,a_me,a_sd,a_mcr,a_mai,gx_me,gx_sd,gx_mcr,gy_me,gy_sd,gy_mcr,gz_me,gz_sd,gz_mcr,g_me,g_sd,g_mcr,fa_me,fa_sd,fa_mcr,fb_me,fb_sd,fb_mcr,fc_me,fc_sd,fc_mcr,fd_me,fd_sd,fd_mcr,ca_me,ca_sd,ca_min,ca_max,ca_mcr,cb_me,cb_sd,cb_min,cb_max,cb_mcr,cc_me,cc_sd,cc_min,cc_max,cc_mcr,cd_me,cd_sd,cd_min,cd_max,cd_mcr,c_me,c_sd,c_min,c_max,c_mcr,m_me,m_sd,m_min,m_max,m_jc,m_jr,m_jv,m_iji,ns_me,ns_sd,ns_sum,ns_jc,ns_jr,ns_jv,ns_iji,nr_me,nr_sd,nr_sum,nr_jc,nr_jr,nr_jv,nr_iji
7,129,0.01713091922005571,0.004692448386182244,0.42920847268673357,0.004448160535117056,-0.029387186629526472,0.003986460741525113,0.19063545150501673,0.0028985507246376808,0.8772185061315496,0.005841665283697086,0.43837144450641385,0.005711098717233691,0.8778993458563107,0.005839403586657117,0.43837144450641385,0.005783078545462387,-0.5342028985507247,0.0966152656510129,0.5064138315672058,1.8003955431754874,0.11612263991585826,0.48885172798216275,-1.7088467966573817,0.09958217129945263,0.4983277591973244,2.5432997150596917,0.10769410290691567,0.5119910764082544,684.9617151607963,0.2964212586208877,0.11644535240040858,526.2146490335707,0.8424815920098581,0.28905852417302796,603.8513994910942,0.6903952665842072,0.42668024439918534,nan,nan,0,nan,nan,0,0,0,nan,nan,0,0,0,nan,nan,0,0,0,nan,nan,0,0,0,nan,nan,0,0,0,0,nan,0,0,0,0,0,0,nan,nan,0,0,0,0,0,nan,nan,0,0,0,0,0
7,129,0.017143497757847535,0.004787131513175133,0.41318977119784656,0.004374158815612382,-0.02937219730941704,0.004123707909237783,0.20681920143562135,0.0031269627635711074,0.8774406095921111,0.006650858768131591,0.43946188340807174,0.006412556053811666,0.8781211108342921,0.006642430431450883,0.4396590399282189,0.006474868531684419,-0.5327431645002241,0.09552940984738945,0.5098654708520179,1.7989332138054683,0.12382493144789443,0.5098654708520179,-1.7019677274764677,0.09796417551644074,0.5399103139013453,2.537416822458069,0.11064114519868082,0.5076233183856502,684.4285714285714,0.9831314478337859,0.24410609037328093,526.1824925816023,1.0219306986353889,0.3320138545274616,603.3706259241005,0.898849082043249,0.3318540433925049,nan,nan,0,nan,nan,0,0,0,nan,nan,0,0,0,nan,nan,0,0,0,nan,nan,0,0,0,nan,nan,0,0,0,0,nan,0,0,0,0,0,0,nan,nan,0,0,0,0,0,nan,nan,0,0,0,0,0
7,129,0.01708730158730159,0.004714920324984279,0.4335053592695514,0.004493846764589123,-0.029265873015873016,0.0037975485555150016,0.19849146486701072,0.0027153632393807064,0.8771309523809523,0.0056116653483488715,0.4501786423183803,0.005573640333465666,0.8778062519228178,0.005612623765385175,0.4501786423183803,0.005643706621133665,-0.5309166666666668,0.09446125959086119,0.5398967844382692,1.7985039682539685,0.10976283950697481,0.5180627233028979,-1.7045357142857145,0.09856239822334589,0.518856689162366,2.5380262819860073,0.1050665543223574,0.5244144501786423,685.4771723122238,0.4994786248387362,0.48330058939096265,524.2990147783252,0.7114468812260207,0.37703302119270576,604.9177744953225,0.5368124188003345,0.2916256157635468,nan,nan,0,nan,nan,0,0,0,nan,nan,0,0,0,nan,nan,0,0,0,nan,nan,0,0,0,nan,nan,0,0,0,0,nan,0,0,0,0,0,0,nan,nan,0,0,0,0,0,nan,nan,0,0,0,0,0
7,129,0.01728611221647433,0.0046651200128105565,0.40326433121019106,0.004231687898089171,-0.029602069239952254,0.003774486007913717,0.1664012738853503,0.00259156050955414,0.8773219259848787,0.0055810977201738955,0.43789808917197454,0.005501592356687903,0.8780118731036737,0.005582420869353191,0.43789808917197454,0.0055692937942199506,-0.5376760843613211,0.09548674878360389,0.5461783439490446,1.800652866242038,0.11498049076306757,0.5157307845479888,-1.7056886942675162,0.09925360090476607,0.5217045001991238,2.5420036218336297,0.10621843386619835,0.5101553166069295,685.4301703163017,0.49803968045105895,0.4810126582278481,525.826213592233,1.1151612853047026,0.20252549781447304,604.6337548638132,3.165753133914392,0.19659367396593674,nan,nan,0,16.7,0.0,16.7,16.7,0,0.0,0.0,0.0,0.0,0,33.3,0.0,33.3,33.3,0,16.7,0.0,16.7,16.7,0,40.824869871194934,0.0,40.824869871194934,40.824869871194934,0,0,nan,0,0,0,0,0,0,nan,nan,0,0,0,0,0,nan,nan,0,0,0,0,0
7,129,0.01729527559055118,0.004750405838737494,0.40488381252461597,0.004277274517526585,-0.029314960629921262,0.003968777330915278,0.20638046474990154,0.002938164631744781,0.8774527559055119,0.007669844076186712,0.40448995667585663,0.006408034659314697,0.878134447092735,0.0076726271308605876,0.40448995667585663,0.006475598478162004,-0.5323188976377953,0.10523809093960024,0.512800315084679,1.8024872097599374,0.14548549567133773,0.5023622047244094,-1.7002833530106258,0.10089601722148378,0.5023622047244094,2.5397955786840907,0.12405641176454303,0.5100433241433635,685.1552644347404,0.7077293446443879,0.33737864077669905,528.9687957094101,2.5963634814565495,0.10975609756097561,611.7579152459815,16.921247978795456,0.003898635477582846,nan,nan,0,22.075,4.571856843778029,16.4,28.0,0.8571428571428571,29.5375,9.62807580724207,16.4,44.6,0.42857142857142855,28.6125,6.126058581992177,17.6,39.2,0.7142857142857143,28.599999999999998,9.646372375147044,14.9,43.3,0.14285714285714285,56.60602831740829,6.028686268895669,50.27394951662342,70.4591370937794,0.42857142857142855,25.74,0.09165151389911717,25.5,25.8,0,0.0,nan,nan,623.0,21.571586249817916,73.0,0,0.0,nan,nan,605.6666666666666,20.385179801894207,68.0,0,0.0,nan,nan
7,129,0.01719635627530364,0.008056851817999228,0.4359493670886076,0.006146835443037975,-0.029367408906882598,0.004735368533555191,0.21670886075949367,0.0034734177215189873,0.8772115384615385,0.021456758805627023,0.4111392405063291,0.011843037974683552,0.8779198238375252,0.02151173105558471,0.4111392405063291,0.011918212038779503,-0.5289018218623482,0.18906106824792138,0.4759493670886076,1.8004504048582997,0.4496861811396179,0.4870886075949367,-1.700227732793522,0.10297202344063637,0.52,2.5599547620383163,0.3276121851331416,0.4739240506329114,686.4987739087788,2.9788980697634138,0.04121687929342493,530.9403714565005,3.415845237858346,0.09095354523227384,612.8978388998036,18.930136658648493,0.012776412776412777,nan,nan,0,62.24444444444445,28.064651990680815,20.3,94.4,0.375,64.85555555555555,24.432588033703908,28.8,97.0,0.375,66.45555555555555,26.36711382305664,20.5,95.9,0.375,66.36666666666666,24.388795241531163,28.8,97.1,0.375,130.58451083296097,50.23732540501757,51.20566374923774,192.0130724716419,0.375,29.11,0.7665861471404599,27.2,30.1,0,0.0,nan,nan,1098.6,255.068304577421,805.0,2,0.22,266.5,5.0,1093.8,272.85813163620395,839.0,2,0.22,289.0,5.0
7,129,0.016862477231329692,0.004860647717256071,0.41867881548974945,0.004387243735763098,-0.029448998178506377,0.0040619792812415095,0.2,0.0030296127562642367,0.8769216757741348,0.006707203541055214,0.4596810933940774,0.006423690205011395,0.877600897751692,0.0067073460689989145,0.4596810933940774,0.0064904849254118525,-0.5325728597449909,0.09829410939116437,0.5152619589977221,1.7967896174863387,0.12736839488689877,0.48291571753986334,-1.7032377049180327,0.09881879775443747,0.5211845102505694,2.5368972699038355,0.1136102838623072,0.5002277904328019,686.995066600888,1.1198418262596694,0.11697926949654491,539.1446787641,2.658448160702769,0.09568204121687929,653.9665354330708,9.544954876128392,0.015263417035942885,nan,nan,0,93.49,5.016064194166578,85.9,100.0,0.6666666666666666,94.55,5.214067510111468,84.1,100.0,0.4444444444444444,93.69,5.086541064416958,83.1,100.0,0.6666666666666666,93.97,5.645360927345565,84.3,100.0,0.4444444444444444,187.88063206439736,9.960828031973673,170.6666634114583,200.0,0.4444444444444444,32.04,1.1833849753989607,30.0,33.6,2,0.22,0.9,3.0,2230.0,342.2607842631762,967.0,1,0.12,302.0,nan,2558.6666666666665,512.4991056902766,1472.0,1,0.12,444.0,nan
7,129,0.017109236234458258,0.004854962481371553,0.4291426032874278,0.004575744113727233,-0.029413854351687394,0.004065750011330045,0.19813416259440247,0.0029942247889826745,0.8772602131438719,0.009112371187454149,0.4344735673034207,0.007623278542869842,0.8779427436676518,0.009113588283692131,0.4344735673034207,0.007690528801089478,-0.5300133214920071,0.09963989246618465,0.5122167925366504,1.8012344582593252,0.14427525776335196,0.49977787649933364,-1.7024644760213146,0.09931207017056795,0.5073300755219903,2.539464633182928,0.12438130471375657,0.49888938249666814,688.7819623389495,1.628546055314481,0.0813088745661874,533.5656465942744,1.9618484800106226,0.07703703703703704,626.2338749384539,15.769884939389776,0.012807881773399015,nan,nan,0,72.9,13.16594934754886,55.3,97.2,0.625,66.0,14.62494064565354,38.4,89.9,0.375,70.96666666666665,16.78994408037806,47.9,100.0,0.375,69.66666666666667,15.039872930905293,42.5,97.1,0.625,140.16394773504376,28.452084082914716,92.91560686989027,192.24531203647075,0.375,34.09,0.2879236009777595,33.7,34.6,2,0.22,0.55,3.0,3083.5555555555557,130.83926620188188,377.0,1,0.12,154.0,nan,3912.8888888888887,230.4157809238886,659.0,1,0.12,315.0,nan
7,129,0.09109529458283905,0.17234510014643925,0.004746835443037975,0.006736550632911393,-0.029248714907077897,0.007822986233624981,0.2903481012658228,0.0048417721518987334,0.8599565045472518,0.052937047953826415,0.07278481012658228,0.015027689873417726,0.8833935342410318,0.02934718210117915,0.1673259493670886,0.015024307465504969,-0.5612534598655594,1.124202019442623,0.37776898734177217,1.7507671016211948,18.81805611711311,0.2610759493670886,-1.8974219058916568,1.1270154988677763,0.09572784810126582,9.105761295398013,16.754663295707985,0.006329113924050633,693.757874015748,9.354902974024867,0.004923682914820286,526.749632533072,17.583886746489686,0.000980392156862745,600.8159448818898,11.172307479753627,0.02117183653372723,nan,nan,0,56.53333333333333,8.9479979138725,46.6,68.6,0.75,49.288888888888884,10.014039527299708,35.3,67.6,0.375,40.8,4.723699115453198,31.9,46.4,0.875,58.544444444444444,4.528701337300699,48.6,64.7,0.375,104.48424184800984,4.870076990257053,94.95930707413571,112.4098750110505,0.25,31.99,1.1219471610101623,30.9,33.9,0,0.0,nan,nan,3240.5,20.665188119153427,65.0,0,0.0,nan,nan,4143.1,21.328150412072773,67.0,0,0.0,nan,nan
7,129,0.02011946902654867,0.014385153103341056,0.24081451969898185,0.006861443116423195,-0.026654867256637165,0.008406455496160547,0.45993802567507747,0.006281540504648073,0.8773230088495575,0.05537924039794171,0.4063745019920319,0.027073926516157597,0.8781904912980444,0.054192796788758345,0.4063745019920319,0.02685865092888845,-0.5223185840707965,0.2503921266499021,0.4386896857016379,1.7974203539823008,0.7568077053971816,0.46613545816733065,-1.7240442477876108,0.11250297061018252,0.5042054006197433,2.6157929496113828,0.5306632488701633,0.40239043824701193,690.8163855421686,3.6437133774020207,0.08052073288331726,537.9888511875909,3.732756027454982,0.12851600387972842,600.4085395439107,5.62235477525556,0.09611650485436893,nan,nan,0,54.06666666666667,6.516986351919966,40.3,61.1,0.5,56.64444444444444,8.143860824928339,45.8,75.4,0.75,46.29999999999999,8.854000978841901,34.2,61.2,0.125,50.33333333333333,9.965050036112322,33.8,65.3,0.375,105.15299913223274,6.186104154293834,94.38490345388928,116.75898252382983,0.375,30.85,0.04999999999999894,30.8,30.9,0,0.0,nan,nan,3316.5555555555557,28.538905651802228,93.0,0,0.0,nan,nan,4220.666666666667,28.50341110190927,93.0,0,0.0,nan,nan
